	0	1	2	3	4	5	6	7
7830	23.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5817600000
123218	23.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1023300000
7845	24.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5761870000
123273	24.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1030200000
7860	25.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5714370000
123328	25.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1041000000
7875	26.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5674970000
123383	26.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1055410000
7890	27.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5643300000
123438	27.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1073460000
7905	28.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5619060000
123493	28.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1094930000
7920	29.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5601880000
123548	29.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1119710000
7935	30.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5591330000
123603	30.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1147600000
7950	31.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5587050000
123658	31.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1178440000
