R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
3.6,-109.00784919279965,-7.029054162462877,-0.4052008964193803,3.227749765104848,163.7685567144226,-97.86195480964464,130.76863186561246,2.7164400035322833,-2.1083093945259552,2.664055684305136,-15.657863019465687,3.3328192310493012,-8.577676071328677,20.461530818700396,-0.06617918633832609,0.02117541738891937,0.006442842970668217,-0.0399077096160978,0.10362562036991285,-4.174860392981975,19.859237328964994,-4.340325816690244,-11.3687789393088,-0.060088982860847295,0.07040224633682168,-0.10173588506998854,0.15375590496373204,-0.2760495253060191
3.7,-143.94757254880182,-9.484520260596423,-0.453994991364862,-7.7978348097310555,141.18140354079478,-84.41251421864463,112.96222253338128,2.31001170308467,-1.7865331692693123,2.244867407100409,-11.411109486322635,2.494076196953756,-7.078390427150181,17.195960290291467,-0.038426418484951874,0.007516242629828529,0.01630767404632838,-0.047660823636193506,0.11036916624149828,-2.6812509201867627,16.889576725950917,-3.5708830613115463,-9.994508051518594,-0.04469957036746397,0.057741814877564135,-0.08756714004096233,0.13558125174184754,-0.24661888243334928
3.8,-160.73180330486443,-10.61239632716942,-0.4739511315842888,-14.513983394806838,122.05143709406728,-73.03205871326999,97.91568576231147,1.9434915763969585,-1.4973142151246117,1.8709064190845233,-8.56797303225952,1.8188202274685565,-5.8368313255398565,14.470013093604956,-0.010643748643034634,-0.004927373561398607,0.022940895474970358,-0.04908018310628437,0.1040679317376978,-1.7662159850500867,14.440566262957805,-2.9825497656863607,-8.736270387716155,-0.014855454983096372,0.03310885719702661,-0.0599319924986339,0.10011343115780647,-0.18928537692962566
3.9,-165.4952821325841,-10.855898534235154,-0.46431489942562276,-18.18815898275246,106.01325476707856,-63.48583385739339,85.27332523269772,1.6243186308248596,-1.246800081450627,1.5499913010542734,-6.58406804628626,1.2562044362991678,-4.801435884922292,12.19788240755674,0.0069581165742196305,-0.011713231875813745,0.024250161146556537,-0.0443187875696619,0.08840904711772679,-1.1991987566641846,12.413517477359246,-2.516023174214265,-7.639440451807133,0.011101127239954378,0.010474382842171837,-0.03321817670628824,0.06449034225642825,-0.13013670447145886
4.0,-162.56853940003722,-10.553260720177697,-0.43274946976338047,-19.806922818071392,92.61733947769095,-55.501044899596565,74.66310742761549,1.3511414062197566,-1.034207064059994,1.2811277226341247,-5.14400048582808,0.7845293416630632,-3.938171748796325,10.308172771327705,0.021027209582132778,-0.016907578455265804,0.024701338059603062,-0.03938292960784559,0.07367612134548662,-0.8405416745345935,10.730671686221818,-2.136955564837488,-6.706448853342012,0.032088089482969595,-0.0080520134788713,-0.011120672847413582,0.034801733093341336,-0.08059847962186983
4.1,-154.96900573728766,-9.94513120971328,-0.38878348864580436,-20.099179071438,81.41370169270701,-48.810626301676464,65.73579770368909,1.1200771444682633,-0.8563309050666321,1.0596225135180566,-4.063754668374694,0.3941740102582294,-3.221840506565492,8.73995731582265,0.03799172131325479,-0.024147773322841792,0.02783240828438721,-0.03853858374414598,0.06658793726130208,-0.6068951859664988,9.32900570221344,-1.8245228828333566,-5.92035088332128,0.05051101825613746,-0.02341557512345238,0.006283530577520291,0.012303587399974725,-0.044066932401362224
4.2,-144.76584348351093,-9.193246831480703,-0.34074841670603817,-19.58133112556521,71.9952154321317,-43.17544709544623,58.18442166445493,0.9268596575609127,-0.7093199101876975,0.8794919671675965,-3.2338234220890394,0.07912378413264065,-2.631700038965107,7.440705335322017,0.059890302283992725,-0.034547557424725595,0.03465745649525365,-0.0429166056637591,0.06878230042350403,-0.44918144993372433,8.156831260280153,-1.5651545376681955,-5.257769095289115,0.06781007475596601,-0.036525519900166725,0.019708870865104755,-0.003610287221921249,-0.01992808196608506
4.3,-133.34946138295527,-8.400489898509562,-0.2946809465897524,-18.605650952848286,64.01547827281037,-38.39296775822823,51.75086002129527,0.7673544151481284,-0.5892830796332875,0.7345619886336845,-2.5866123480144174,-0.16668124263445705,-2.1494738400749576,6.365115399447128,0.08506411706512873,-0.047155287385546085,0.04422492829228353,-0.05132523212251616,0.07828720991961985,-0.3387863985526707,7.17169967392473,-1.3491969355439717,-4.695460442621809,0.08384018319119702,-0.04759474204043962,0.02975821194934608,-0.014085012988195034,-0.005889173779837054
4.4,-121.62937119138645,-7.628281444144651,-0.25424743836622365,-17.403511542606573,57.191675030922305,-34.2979902116935,46.22477185681625,0.6375592426666543,-0.4924646382639475,0.618958494540613,-2.0780939682695196,-0.3504635735560022,-1.7585948998144474,5.474343646725969,0.11005002793118712,-0.0600204637093521,0.05464850350455852,-0.06148953615127051,0.09148058223060052,-0.2590662065293232,6.338900471498239,-1.169200276775911,-4.213202240327027,0.09749259552313039,-0.05633327899881874,0.03679037582813133,-0.02027868072187544,0.0007497720273858255
4.5,-110.17842788689472,-6.9101611672667325,-0.22113018213437208,-16.12060934586526,51.29946819329281,-30.759266289280376,41.43849875958155,0.533534402194423,-0.41529366665674683,0.5273219528815902,-1.6776821366077732,-0.48052745132243047,-1.4440229088009549,4.735376981270872,0.1312319974193068,-0.07110758398341688,0.06396253305837407,-0.07104555716615824,0.10461596335857637,-0.2002313934841231,5.6302402104626585,-1.0190728434897793,-3.794664424368663,0.10745785069500724,-0.06230689281264867,0.04102574698080952,-0.023195519909277484,0.002467878098945553
4.6,-99.33716821141066,-6.261709921056143,-0.19556057483699618,-14.844008259412886,46.16437278835329,-27.674343026584,37.26033825155346,0.45139493753894566,-0.35441817216728655,0.4548973543335624,-1.362750428533593,-0.5657229507015487,-1.1922754023936957,4.120443639551356,0.1458531655619546,-0.07885285305226619,0.07063729769016347,-0.07813134914488618,0.11471810363884744,-0.15633915019081002,5.022979229363729,-0.893677794417024,-3.427269867292583,0.11275553542771188,-0.06520965341857715,0.04267186974559434,-0.02366337824489867,0.0012691513914960817
4.7,-89.28863071409401,-5.687454783738444,-0.17683644668972853,-13.62201336371949,41.652268233388966,-24.9640505146227,33.587629553439186,0.3873717685135478,-0.3067479048711972,0.3975641405521131,-1.1157089101992348,-0.6148389369334168,-0.9914932414185511,3.60642722369525,0.15242790943081275,-0.08239062251097007,0.0737880757844025,-0.08162573896079828,0.11994212424169842,-0.12357443800520063,4.498888267689212,-0.7886413058109796,-3.101621436073469,0.11297736064841224,-0.06499761290082434,0.042000127418569844,-0.02235740825314947,-0.001367824667259654
4.8,-80.11148080508701,-5.185485475948251,-0.16375141424334339,-12.478255812762526,37.66048913870703,-22.56738806996257,30.34043482586141,0.33790917832639167,-0.2695003434298142,0.3518322890468655,-0.922447960411061,-0.6360990397312456,-0.8314635252755398,3.17428452893361,0.15073237757702374,-0.08154902518902996,0.07317235900577868,-0.0811461228441358,0.119569830466277,-0.09929976829264886,4.043418036428886,-0.7002519642606448,-2.810811930168644,0.10830848127081394,-0.0619075891159796,0.03936810257174875,-0.01983007801614367,-0.00443975884879938
