R	Gamma	E
3.60	180	128.572966
3.70	0	-8.329487
3.70	10	-7.056773
3.70	20	-3.224166
3.70	30	3.032156
3.70	40	11.09903
3.70	50	19.780174
3.70	60	27.607058
3.70	70	33.142455
3.70	80	35.191971
3.70	90	33.155946
3.70	100	27.457831
3.70	110	19.715868
3.70	120	12.743561
3.70	130	10.436068
3.70	140	16.830587
3.70	150	33.524302
3.70	160	56.606762
3.70	170	76.691605
3.70	180	84.524277
3.80	0	-17.666864
3.80	10	-16.549927
3.80	20	-13.176154
3.80	30	-7.622885
3.80	40	-0.402815
3.80	50	7.46944
3.80	60	14.719344
3.80	70	20.084868
3.80	80	22.493871
3.80	90	21.381334
3.80	100	17.029275
3.80	110	10.702533
3.80	120	4.587069
3.80	130	1.701611
3.80	140	5.25147
3.80	150	16.598119
3.80	160	32.859274
3.80	170	47.083287
3.80	180	52.610138
3.90	0	-23.855146
3.90	10	-22.886883
3.90	20	-19.941038
3.90	30	-15.058753
3.90	40	-8.65446
3.90	50	-1.583819
3.90	60	5.051619
3.90	70	10.138768
3.90	80	12.726973
3.90	90	12.272492
3.90	100	8.962204
3.90	110	3.79603
3.90	120	-1.510977
3.90	130	-4.615245
3.90	140	-2.998918
3.90	150	4.503188
3.90	160	15.794966
3.90	170	25.769086
3.90	180	29.634863
4.00	0	-27.742068
4.00	10	-26.905983
4.00	20	-24.349892
4.00	30	-20.088805
4.00	40	-14.447538
4.00	50	-8.14664
4.00	60	-2.133995
4.00	70	2.616444
4.00	80	5.249718
4.00	90	5.258027
4.00	100	2.754576
4.00	110	-1.462419
4.00	120	-6.030884
4.00	130	-9.123643
4.00	140	-8.77398
4.00	150	-4.012823
4.00	160	3.680918
4.00	170	10.57458
4.00	180	13.245357
4.10	0	-29.965117
4.10	10	-29.244363
4.10	20	-27.031998
4.10	30	-23.32354
4.10	40	-18.378041
4.10	50	-12.797756
4.10	60	-7.394715
4.10	70	-3.020091
4.10	80	-0.434031
4.10	90	-0.108382
4.10	100	-1.987353
4.10	110	-5.429201
4.10	120	-9.339092
4.10	130	-12.282052
4.10	140	-12.727146
4.10	150	-9.882834
4.10	160	-4.779204
4.10	170	-0.107273
4.10	180	1.705947
4.20	0	-31.005205
4.20	10	-30.382008
4.20	20	-28.463983
4.20	30	-25.238198
4.20	40	-20.913534
4.20	50	-15.993316
4.20	60	-11.170808
4.20	70	-7.186117
4.20	80	-4.710778
4.20	90	-4.177799
4.20	100	-5.573719
4.20	110	-8.383689
4.20	120	-11.717147
4.20	130	-14.435782
4.20	140	-15.348599
4.20	150	-13.81951
4.20	160	-10.555647
4.20	170	-7.473257
4.20	180	-6.272
4.30	0	-31.218763
4.30	10	-30.67559
4.30	20	-29.003637
4.30	30	-26.191006
4.30	40	-22.410695
4.30	50	-18.084711
4.30	60	-13.803474
4.30	70	-10.207203
4.30	80	-7.884334
4.30	90	-7.226514
4.30	100	-8.250532
4.30	110	-10.544831
4.30	120	-13.380465
4.30	130	-15.844355
4.30	140	-17.005256
4.30	150	-16.357182
4.30	160	-14.380044
4.30	170	-12.421305
4.30	180	-11.652575
4.40	0	-30.864118
4.40	10	-30.385519
4.40	20	-28.916106
4.40	30	-26.45252
4.40	40	-23.143732
4.40	50	-19.345845
4.40	60	-15.561071
4.40	70	-12.340382
4.40	80	-10.195007
4.40	90	-9.473506
4.40	100	-10.212403
4.40	110	-12.085367
4.40	120	-14.494849
4.40	130	-16.70075
4.40	140	-17.967908
4.40	150	-17.894237
4.40	160	-16.80151
4.40	170	-15.625657
4.40	180	-15.158643
4.50	0	-30.124961
4.50	10	-29.698351
4.50	20	-28.395189
4.50	30	-26.225226
4.50	40	-23.322414
4.50	50	-19.989978
4.50	60	-16.654973
4.50	70	-13.789403
4.50	80	-11.833604
4.50	90	-11.092708
4.50	100	-11.614057
4.50	110	-13.141685
4.50	120	-15.187831
4.50	130	-17.148177
4.50	140	-18.434305
4.50	150	-18.723249
4.50	160	-18.227137
4.50	170	-17.588049
4.50	180	-17.328395
4.60	0	-29.129719
4.60	10	-28.745754
4.60	20	-27.580799
4.60	30	-25.659256
4.60	40	-23.106103
4.60	50	-20.182283
4.60	60	-17.251275
4.60	70	-14.71575
4.60	80	-12.951821
4.60	90	-12.222324
4.60	100	-12.578387
4.60	110	-13.821642
4.60	120	-15.557788
4.60	130	-17.292318
4.60	140	-18.546909
4.60	150	-19.05576
4.60	160	-18.953992
4.60	170	-18.676426
4.60	180	-18.556858
4.70	0	-27.967813
4.70	10	-27.620179
4.70	20	-26.57322
4.70	30	-24.864943
4.70	40	-22.614709
4.70	50	-20.049536
4.70	60	-17.479381
4.70	70	-15.246555
4.70	80	-13.669734
4.70	90	-12.971864
4.70	100	-13.202715
4.70	110	-14.21044
4.70	120	-15.680877
4.70	130	-17.211138
4.70	140	-18.407131
4.70	150	-19.042231
4.70	160	-19.195282
4.70	170	-19.156229
4.70	180	-19.129331
4.80	0	-26.702368
4.80	10	-26.387103
4.80	20	-25.444316
4.80	30	-23.922752
4.80	40	-21.937427
4.80	50	-19.687795
4.80	60	-17.438873
4.80	70	-15.480833
4.80	80	-14.081639
4.80	90	-13.427571
4.80	100	-13.563742
4.80	110	-14.375218
4.80	120	-15.616344
4.80	130	-16.962565
4.80	140	-18.086645
4.80	150	-18.78806
4.80	160	-19.101738
4.80	170	-19.216263
4.80	180	-19.249035
4.90	0	-25.379266
4.90	10	-25.093981
4.90	20	-24.245985
4.90	30	-22.891052
4.90	40	-21.139765
4.90	50	-19.168703
4.90	60	-17.205183
4.90	70	-15.494608
4.90	80	-14.26068
4.90	90	-13.656775
4.90	100	-13.721439
