      R        PHI    THETA2   THETA1       E_CP
    2.6000   90.0000   60.0000   180.0000   -76.967762190354
    2.6000   90.0000   90.0000   0.0000   -76.965950597611
    2.6000   90.0000   90.0000   30.0000   -76.970797223838
    2.6000   90.0000   90.0000   60.0000   -76.963780857245
    2.6000   90.0000   90.0000   90.0000   -76.963597539363
    2.6000   90.0000   90.0000   120.0000   -76.963780857245
    2.6000   90.0000   90.0000   150.0000   -76.970797223838
    2.6000   90.0000   90.0000   180.0000   -76.965950597610
    2.7000   0.0000   0.0000   0.0000   -76.964910016621
    2.7000   0.0000   0.0000   30.0000   -76.965186900892
    2.7000   0.0000   0.0000   60.0000   -76.964368772456
    2.7000   0.0000   0.0000   90.0000   -76.965136867131
    2.7000   0.0000   0.0000   120.0000   -76.964368772457
    2.7000   0.0000   0.0000   150.0000   -76.965186900892
    2.7000   0.0000   0.0000   180.0000   -76.964910016622
    2.7000   0.0000   30.0000   0.0000   -76.965381021162
    2.7000   0.0000   30.0000   30.0000   -76.966565806236
    2.7000   0.0000   30.0000   60.0000   -76.965045942581
    2.7000   0.0000   30.0000   90.0000   -76.964912849662
    2.7000   0.0000   30.0000   120.0000   -76.963667768596
    2.7000   0.0000   30.0000   150.0000   -76.964981718517
    2.7000   0.0000   30.0000   180.0000   -76.965381021163
    2.7000   0.0000   60.0000   0.0000   -76.966060639887
    2.7000   0.0000   60.0000   30.0000   -76.967766178202
    2.7000   0.0000   60.0000   60.0000   -76.965036955730
    2.7000   0.0000   60.0000   90.0000   -76.964547430978
    2.7000   0.0000   60.0000   120.0000   -76.963725612088
    2.7000   0.0000   60.0000   150.0000   -76.966172196090
    2.7000   0.0000   60.0000   180.0000   -76.966060639888
    2.7000   0.0000   90.0000   0.0000   -76.966243159947
    2.7000   0.0000   90.0000   30.0000   -76.967590663388
    2.7000   0.0000   90.0000   60.0000   -76.964402992494
    2.7000   0.0000   90.0000   90.0000   -76.964395987385
    2.7000   0.0000   90.0000   120.0000   -76.964402992493
    2.7000   0.0000   90.0000   150.0000   -76.967590663388
    2.7000   0.0000   90.0000   180.0000   -76.966243159947
    2.7000   30.0000   0.0000   0.0000   -76.964910016621
    2.7000   30.0000   0.0000   30.0000   -76.965186903287
    2.7000   30.0000   0.0000   60.0000   -76.964368841819
    2.7000   30.0000   0.0000   90.0000   -76.965137140284
    2.7000   30.0000   0.0000   120.0000   -76.964368841819
    2.7000   30.0000   0.0000   150.0000   -76.965186903287
    2.7000   30.0000   0.0000   180.0000   -76.964910016621
    2.7000   30.0000   30.0000   0.0000   -76.965381021162
    2.7000   30.0000   30.0000   30.0000   -76.966462534371
    2.7000   30.0000   30.0000   60.0000   -76.964986169995
    2.7000   30.0000   30.0000   90.0000   -76.964948024591
    2.7000   30.0000   30.0000   120.0000   -76.963793231432
    2.7000   30.0000   30.0000   150.0000   -76.965093538532
    2.7000   30.0000   30.0000   180.0000   -76.965381021163
    2.7000   30.0000   60.0000   0.0000   -76.966060639886
    2.7000   30.0000   60.0000   30.0000   -76.967638181157
    2.7000   30.0000   60.0000   60.0000   -76.965038611720
    2.7000   30.0000   60.0000   90.0000   -76.964641655017
    2.7000   30.0000   60.0000   120.0000   -76.963902326126
    2.7000   30.0000   60.0000   150.0000   -76.966295448520
    2.7000   30.0000   60.0000   180.0000   -76.966060639887
    2.7000   30.0000   90.0000   0.0000   -76.966243159949
    2.7000   30.0000   90.0000   30.0000   -76.967591273957
    2.7000   30.0000   90.0000   60.0000   -76.964517408109
    2.7000   30.0000   90.0000   90.0000   -76.964512842525
    2.7000   30.0000   90.0000   120.0000   -76.964517408109
    2.7000   30.0000   90.0000   150.0000   -76.967591273956
    2.7000   30.0000   90.0000   180.0000   -76.966243159947
    2.7000   60.0000   0.0000   0.0000   -76.964910016621
    2.7000   60.0000   0.0000   30.0000   -76.965186903288
    2.7000   60.0000   0.0000   60.0000   -76.964368830651
    2.7000   60.0000   0.0000   90.0000   -76.965137140285
    2.7000   60.0000   0.0000   120.0000   -76.964368841819
    2.7000   60.0000   0.0000   150.0000   -76.965186903288
    2.7000   60.0000   0.0000   180.0000   -76.964910016623
    2.7000   60.0000   30.0000   0.0000   -76.965381021162
    2.7000   60.0000   30.0000   30.0000   -76.966172267266
    2.7000   60.0000   30.0000   60.0000   -76.964801781071
    2.7000   60.0000   30.0000   90.0000   -76.965019886774
    2.7000   60.0000   30.0000   120.0000   -76.964113557345
    2.7000   60.0000   30.0000   150.0000   -76.965395436578
    2.7000   60.0000   30.0000   180.0000   -76.965381021162
    2.7000   60.0000   60.0000   0.0000   -76.966060639886
    2.7000   60.0000   60.0000   30.0000   -76.967351641305
    2.7000   60.0000   60.0000   60.0000   -76.964978083909
    2.7000   60.0000   60.0000   90.0000   -76.964830925915
    2.7000   60.0000   60.0000   120.0000   -76.964322649897
    2.7000   60.0000   60.0000   150.0000   -76.966611079193
    2.7000   60.0000   60.0000   180.0000   -76.966060639887
    2.7000   60.0000   90.0000   0.0000   -76.966243159946
    2.7000   60.0000   90.0000   30.0000   -76.967598725279
    2.7000   60.0000   90.0000   60.0000   -76.964750848376
    2.7000   60.0000   90.0000   90.0000   -76.964746997459
    2.7000   60.0000   90.0000   120.0000   -76.964750854799
    2.7000   60.0000   90.0000   150.0000   -76.967598725280
    2.7000   60.0000   90.0000   180.0000   -76.966243159947
    2.7000   90.0000   0.0000   0.0000   -76.964910016620
    2.7000   90.0000   0.0000   30.0000   -76.965186900892
    2.7000   90.0000   0.0000   60.0000   -76.964368772456
    2.7000   90.0000   0.0000   90.0000   -76.965136867134
    2.7000   90.0000   0.0000   120.0000   -76.964368772456
    2.7000   90.0000   0.0000   150.0000   -76.965186900891
    2.7000   90.0000   0.0000   180.0000   -76.964910016622
    2.7000   90.0000   30.0000   0.0000   -76.965381021163
    2.7000   90.0000   30.0000   30.0000   -76.965788304398
    2.7000   90.0000   30.0000   60.0000   -76.964489258918
    2.7000   90.0000   30.0000   90.0000   -76.965056167406
    2.7000   90.0000   30.0000   120.0000   -76.964489258918
    2.7000   90.0000   30.0000   150.0000   -76.965788304398
    2.7000   90.0000   30.0000   180.0000   -76.965381021163
    2.7000   90.0000   60.0000   0.0000   -76.966060639888
    2.7000   90.0000   60.0000   30.0000   -76.967000941388
    2.7000   90.0000   60.0000   60.0000   -76.964735898042
    2.7000   90.0000   60.0000   90.0000   -76.964925433140
    2.7000   90.0000   60.0000   120.0000   -76.964735898042
    2.7000   90.0000   60.0000   150.0000   -76.967000941388
    2.7000   90.0000   60.0000   180.0000   -76.966060639887
    2.7000   90.0000   90.0000   0.0000   -76.966243159946
    2.7000   90.0000   90.0000   30.0000   -76.967596207532
    2.7000   90.0000   90.0000   60.0000   -76.964860125186
    2.7000   90.0000   90.0000   90.0000   -76.964862738251
    2.7000   90.0000   90.0000   120.0000   -76.964860125187
    2.7000   90.0000   90.0000   150.0000   -76.967596207532
    2.7000   90.0000   90.0000   180.0000   -76.966243159948
    2.8000   0.0000   0.0000   0.0000   -76.964830101417
    2.8000   0.0000   0.0000   30.0000   -76.965018049047
    2.8000   0.0000   0.0000   60.0000   -76.965431321027
    2.8000   0.0000   0.0000   90.0000   -76.966169341048
    2.8000   0.0000   0.0000   120.0000   -76.965431321026
    2.8000   0.0000   0.0000   150.0000   -76.965018049047
    2.8000   0.0000   0.0000   180.0000   -76.964830101418
    2.8000   0.0000   30.0000   0.0000   -76.965309404928
    2.8000   0.0000   30.0000   30.0000   -76.966084777483
    2.8000   0.0000   30.0000   60.0000   -76.965948435596
    2.8000   0.0000   30.0000   90.0000   -76.965952750564
    2.8000   0.0000   30.0000   120.0000   -76.964829119194
    2.8000   0.0000   30.0000   150.0000   -76.964820153717
    2.8000   0.0000   30.0000   180.0000   -76.965309404927
    2.8000   0.0000   60.0000   0.0000   -76.966180705580
    2.8000   0.0000   60.0000   30.0000   -76.966967497093
    2.8000   0.0000   60.0000   60.0000   -76.965899902221
    2.8000   0.0000   60.0000   90.0000   -76.965579625430
    2.8000   0.0000   60.0000   120.0000   -76.964816217366
    2.8000   0.0000   60.0000   150.0000   -76.965743917885
    2.8000   0.0000   60.0000   180.0000   -76.966180705580
    2.8000   0.0000   90.0000   0.0000   -76.966578202558
    2.8000   0.0000   90.0000   30.0000   -76.966819576949
    2.8000   0.0000   90.0000   60.0000   -76.965366454507
    2.8000   0.0000   90.0000   90.0000   -76.965428010190
    2.8000   0.0000   90.0000   120.0000   -76.965366454507
    2.8000   0.0000   90.0000   150.0000   -76.966819576949
    2.8000   0.0000   90.0000   180.0000   -76.966578202557
    2.8000   30.0000   0.0000   0.0000   -76.964830101418
    2.8000   30.0000   0.0000   30.0000   -76.965018046839
    2.8000   30.0000   0.0000   60.0000   -76.965431386430
    2.8000   30.0000   0.0000   90.0000   -76.966169336992
    2.8000   30.0000   0.0000   120.0000   -76.965431386429
    2.8000   30.0000   0.0000   150.0000   -76.965018046841
    2.8000   30.0000   0.0000   180.0000   -76.964830101418
    2.8000   30.0000   30.0000   0.0000   -76.965309404929
    2.8000   30.0000   30.0000   30.0000   -76.966009460189
    2.8000   30.0000   30.0000   60.0000   -76.965899083611
    2.8000   30.0000   30.0000   90.0000   -76.965980460736
    2.8000   30.0000   30.0000   120.0000   -76.964912590450
    2.8000   30.0000   30.0000   150.0000   -76.964919951656
    2.8000   30.0000   30.0000   180.0000   -76.965309404929
    2.8000   30.0000   60.0000   0.0000   -76.966180705580
    2.8000   30.0000   60.0000   30.0000   -76.966903230871
    2.8000   30.0000   60.0000   60.0000   -76.965899860220
    2.8000   30.0000   60.0000   90.0000   -76.965654691605
    2.8000   30.0000   60.0000   120.0000   -76.964962129064
    2.8000   30.0000   60.0000   150.0000   -76.965850029533
    2.8000   30.0000   60.0000   180.0000   -76.966180705579
    2.8000   30.0000   90.0000   0.0000   -76.966578202556
    2.8000   30.0000   90.0000   30.0000   -76.966845908815
    2.8000   30.0000   90.0000   60.0000   -76.965464063015
    2.8000   30.0000   90.0000   90.0000   -76.965520498700
    2.8000   30.0000   90.0000   120.0000   -76.965464063015
    2.8000   30.0000   90.0000   150.0000   -76.966845908817
    2.8000   30.0000   90.0000   180.0000   -76.966578202557
    2.8000   60.0000   0.0000   0.0000   -76.964830101417
    2.8000   60.0000   0.0000   30.0000   -76.965018046841
    2.8000   60.0000   0.0000   60.0000   -76.965431373153
    2.8000   60.0000   0.0000   90.0000   -76.966169336993
    2.8000   60.0000   0.0000   120.0000   -76.965431386429
    2.8000   60.0000   0.0000   150.0000   -76.965018046839
    2.8000   60.0000   0.0000   180.0000   -76.964830101418
    2.8000   60.0000   30.0000   0.0000   -76.965309404928
    2.8000   60.0000   30.0000   30.0000   -76.965803199765
    2.8000   60.0000   30.0000   60.0000   -76.965744313595
    2.8000   60.0000   30.0000   90.0000   -76.966035809795
    2.8000   60.0000   30.0000   120.0000   -76.965173269736
    2.8000   60.0000   30.0000   150.0000   -76.965171718416
    2.8000   60.0000   30.0000   180.0000   -76.965309404928
    2.8000   60.0000   60.0000   0.0000   -76.966180705579
    2.8000   60.0000   60.0000   30.0000   -76.966718680575
    2.8000   60.0000   60.0000   60.0000   -76.965846123585
    2.8000   60.0000   60.0000   90.0000   -76.965810231286
    2.8000   60.0000   60.0000   120.0000   -76.965307557801
    2.8000   60.0000   60.0000   150.0000   -76.966121162002
    2.8000   60.0000   60.0000   180.0000   -76.966180705580
    2.8000   60.0000   90.0000   0.0000   -76.966578202557
    2.8000   60.0000   90.0000   30.0000   -76.966886905359
    2.8000   60.0000   90.0000   60.0000   -76.965638289434
    2.8000   60.0000   90.0000   90.0000   -76.965706958983
    2.8000   60.0000   90.0000   120.0000   -76.965638299591
    2.8000   60.0000   90.0000   150.0000   -76.966886905359
    2.8000   60.0000   90.0000   180.0000   -76.966578202558
    2.8000   90.0000   0.0000   0.0000   -76.964830101417
    2.8000   90.0000   0.0000   30.0000   -76.965018049046
    2.8000   90.0000   0.0000   60.0000   -76.965431321027
    2.8000   90.0000   0.0000   90.0000   -76.966169341052
    2.8000   90.0000   0.0000   120.0000   -76.965431321026
    2.8000   90.0000   0.0000   150.0000   -76.965018049047
    2.8000   90.0000   0.0000   180.0000   -76.964830101419
    2.8000   90.0000   30.0000   0.0000   -76.965309404928
    2.8000   90.0000   30.0000   30.0000   -76.965497808627
    2.8000   90.0000   30.0000   60.0000   -76.965484272905
    2.8000   90.0000   30.0000   90.0000   -76.966064691129
    2.8000   90.0000   30.0000   120.0000   -76.965484272905
    2.8000   90.0000   30.0000   150.0000   -76.965497808627
    2.8000   90.0000   30.0000   180.0000   -76.965309404929
    2.8000   90.0000   60.0000   0.0000   -76.966180705578
    2.8000   90.0000   60.0000   30.0000   -76.966442376975
    2.8000   90.0000   60.0000   60.0000   -76.965649303019
    2.8000   90.0000   60.0000   90.0000   -76.965884563481
    2.8000   90.0000   60.0000   120.0000   -76.965649303019
    2.8000   90.0000   60.0000   150.0000   -76.966442376975
    2.8000   90.0000   60.0000   180.0000   -76.966180705580
    2.8000   90.0000   90.0000   0.0000   -76.966578202557
    2.8000   90.0000   90.0000   30.0000   -76.966907861449
    2.8000   90.0000   90.0000   60.0000   -76.965727408031
    2.8000   90.0000   90.0000   90.0000   -76.965799687199
    2.8000   90.0000   90.0000   120.0000   -76.965727408031
    2.8000   90.0000   90.0000   150.0000   -76.966907861448
    2.8000   90.0000   90.0000   180.0000   -76.966578202557
