R,theta,E_cm
15.0,5.0,0.015690021348381294
16.0,5.0,0.016047546505402865
17.0,5.0,0.01569331493009841
18.0,5.0,0.015289919786037416
19.0,5.0,0.014612839229403533
20.0,5.0,0.014019161768127049
21.0,5.0,0.013286994809705561
22.0,5.0,0.012687169953008209
23.0,5.0,0.01195412345855999
24.0,5.0,0.011442090020587443
25.0,5.0,0.01088045324584499
50.0,5.0,0.003631866243822799
100.0,5.0,0.0
2.5,10.0,2370.8271372270688
2.6,10.0,1750.0430582639558
2.7,10.0,1235.1503446658116
2.8,10.0,846.6448024376972
2.9,10.0,566.2068890400744
3.0,10.0,368.3100286577498
3.1,10.0,231.6725249255919
3.2,10.0,138.55503777438213
3.3,10.0,76.87256827951768
3.4,10.0,36.513087981438105
3.5,10.0,8.895855879054187
3.6,10.0,-6.508183039002118
3.7,10.0,-13.998512414275664
3.8,10.0,-18.486749502383482
3.9,10.0,-20.155902130891153
4.0,10.0,-20.14543845608402
4.1,10.0,-19.749373221799377
4.2,10.0,-18.936406710059728
4.3,10.0,-17.217026439506043
4.4,10.0,-15.426802826224206
4.5,10.0,-13.669166150608522
4.6,10.0,-12.009950457752401
4.7,10.0,-10.490736533790505
4.8,10.0,-9.133049354353737
4.9,10.0,-7.94165744253005
5.0,10.0,-6.908888405947267
5.1,10.0,-6.024699524473627
5.2,10.0,-5.26095502697139
5.3,10.0,-4.60476516949841
5.4,10.0,-4.040057822205448
5.5,10.0,-3.5527530355330237
5.6,10.0,-3.131418809173482
5.7,10.0,-2.766146524168838
5.8,10.0,-2.448780501813758
5.9,10.0,-2.1724075140840142
6.0,10.0,-1.9312702990461135
6.2,10.0,-1.5355968263261717
6.4,10.0,-1.2305108485492304
6.6,10.0,-0.9930184495196309
6.8,10.0,-0.8068223194517558
7.0,10.0,-0.6593902364415609
7.2,10.0,-0.5417577603368353
7.4,10.0,-0.4471277618688798
7.6,10.0,-0.3703013254161481
7.8,10.0,-0.3075041466823183
8.0,10.0,-0.255871424001149
8.2,10.0,-0.213316829300951
8.4,10.0,-0.17794322520452227
8.6,10.0,-0.148488193691596
8.8,10.0,-0.12386094478615675
9.0,10.0,-0.10313222684350976
9.5,10.0,-0.06425953837299574
10.0,10.0,-0.03841925334059184
10.5,10.0,-0.02099296861592606
11.0,10.0,-0.009061008217670832
11.5,10.0,-0.0008539764602794264
12.0,10.0,0.00487562999112555
12.5,10.0,0.008824197820856909
13.0,10.0,0.011433750022943912
13.5,10.0,0.013339888609270503
14.0,10.0,0.01452526925414645
14.5,10.0,0.015352909536377269
15.0,10.0,0.01575432728383916
16.0,10.0,0.01599816461210068
17.0,10.0,0.015816658941620005
18.0,10.0,0.015344351214188095
19.0,10.0,0.014692290650484807
20.0,10.0,0.014048791527892774
21.0,10.0,0.013435358814157751
22.0,10.0,0.012691998044388982
23.0,10.0,0.012060790593716604
24.0,10.0,0.011476547871733942
25.0,10.0,0.010919742307294342
50.0,10.0,0.0036485462391098625
100.0,10.0,0.0
2.5,15.0,2195.3287239954293
2.6,15.0,1651.4611519094938
2.7,15.0,1177.592036330182
2.8,15.0,811.6625585599566
2.9,15.0,544.7664857385143
3.0,15.0,355.33113962855805
3.1,15.0,224.02287518429472
3.2,15.0,133.94106849740206
3.3,15.0,74.22258813846467
3.4,15.0,35.236746219705275
3.5,15.0,8.381374205767404
3.6,15.0,-6.290153431107558
3.7,15.0,-12.426369989621758
3.8,15.0,-17.57833040454742
3.9,15.0,-19.242953291522706
4.0,15.0,-19.79751454513047
4.1,15.0,-18.913563571914214
4.2,15.0,-18.178858861995856
4.3,15.0,-16.142791620802477
4.4,15.0,-14.85400037904948
4.5,15.0,-13.191660465064144
4.6,15.0,-11.622303612098865
4.7,15.0,-10.183151179733974
4.8,15.0,-8.893168852827618
4.9,15.0,-7.75650008505573
5.0,15.0,-6.771297785264817
5.1,15.0,-5.913924095249691
5.2,15.0,-5.173860908775067
5.3,15.0,-4.535157253638844
5.4,15.0,-3.983419104828028
5.5,15.0,-3.506002745212038
5.6,15.0,-3.0923990728836337
5.7,15.0,-2.7331535621073124
5.8,15.0,-2.4207305478170653
5.9,15.0,-2.1483660424102213
6.0,15.0,-1.9105878877395972
