      R       THETA       E_CP
    3.5000   45.0000   -78.706763837041
    3.5000   50.0000   -78.706773585444
    3.5000   55.0000   -78.706787287598
    3.5000   60.0000   -78.706795286456
    3.5000   65.0000   -78.706801821816
    3.5000   70.0000   -78.706806976635
    3.5000   75.0000   -78.706811030146
    3.5000   80.0000   -78.706812699236
    3.5000   85.0000   -78.706816382332
    3.5000   90.0000   -78.706815215975
    3.6000   0.0000   -78.706789153738
    3.6000   5.0000   -78.706788381257
    3.6000   10.0000   -78.706785519909
    3.6000   15.0000   -78.706784206921
    3.6000   20.0000   -78.706776769752
    3.6000   25.0000   -78.706780473559
    3.6000   30.0000   -78.706788597138
    3.6000   35.0000   -78.706792513786
    3.6000   40.0000   -78.706796349248
    3.6000   45.0000   -78.706800588583
    3.6000   50.0000   -78.706805312247
    3.6000   55.0000   -78.706813700536
    3.6000   60.0000   -78.706817656589
    3.6000   65.0000   -78.706820912680
    3.6000   70.0000   -78.706824059701
    3.6000   75.0000   -78.706825963387
    3.6000   80.0000   -78.706827390312
    3.6000   85.0000   -78.706828262040
    3.6000   90.0000   -78.706828514015
    3.7000   0.0000   -78.706824091593
    3.7000   5.0000   -78.706822610799
    3.7000   10.0000   -78.706818767846
    3.7000   15.0000   -78.706811230835
    3.7000   20.0000   -78.706812828104
    3.7000   25.0000   -78.706813388502
    3.7000   30.0000   -78.706813767612
    3.7000   35.0000   -78.706818531108
    3.7000   40.0000   -78.706816501242
    3.7000   45.0000   -78.706820386667
    3.7000   50.0000   -78.706825433805
    3.7000   55.0000   -78.706826970881
    3.7000   60.0000   -78.706829036226
    3.7000   65.0000   -78.706830034833
    3.7000   70.0000   -78.706830884093
    3.7000   75.0000   -78.706830045762
    3.7000   80.0000   -78.706832017770
    3.7000   85.0000   -78.706832239145
    3.7000   90.0000   -78.706832278786
    3.8000   0.0000   -78.706844210899
    3.8000   5.0000   -78.706842643755
    3.8000   10.0000   -78.706838788735
    3.8000   15.0000   -78.706834331702
    3.8000   20.0000   -78.706831436339
    3.8000   25.0000   -78.706830020041
    3.8000   30.0000   -78.706829130821
    3.8000   35.0000   -78.706830847262
    3.8000   40.0000   -78.706829889241
    3.8000   45.0000   -78.706832521956
