R,theta,E_cm
3.3,5.0,76.60965347487388
3.4,5.0,35.69057673849854
3.5,5.0,8.058328183416611
3.6,5.0,-7.700154802105497
3.7,5.0,-15.21267086663749
3.8,5.0,-19.609396472898084
3.9,5.0,-21.205362431426476
4.0,5.0,-21.088319026135114
4.1,5.0,-20.59544396938362
4.2,5.0,-19.682581168599686
4.3,5.0,-17.84458363477001
4.4,5.0,-15.938054930550654
4.5,5.0,-14.070216969363319
4.6,5.0,-12.311196727436991
4.7,5.0,-10.706135299720856
4.8,5.0,-9.278329487171666
4.9,5.0,-8.032393741245516
5.0,5.0,-6.958919621399566
5.1,5.0,-6.0439149663741425
5.2,5.0,-5.259915814609821
5.3,5.0,-4.590171860959075
5.4,5.0,-4.016620345387174
5.5,5.0,-3.5237615319818727
5.6,5.0,-3.0990605664688915
5.7,5.0,-2.7317199526918854
5.8,5.0,-2.4132806998921037
5.9,5.0,-2.136288353496672
6.0,5.0,-1.8949922387355307
6.2,5.0,-1.499786906863121
6.4,5.0,-1.196341064165018
6.6,5.0,-0.960296758824988
6.8,5.0,-0.7761566658575552
7.0,5.0,-0.6308666554133963
7.2,5.0,-0.515517155417542
7.4,5.0,-0.42337072965099365
7.6,5.0,-0.34893020309255934
7.8,5.0,-0.2885235440198621
8.0,5.0,-0.23921681050197763
8.2,5.0,-0.19886091239818882
8.4,5.0,-0.1654948430449271
8.6,5.0,-0.13796438606674585
8.8,5.0,-0.11490440486357571
9.0,5.0,-0.09567623464204957
9.5,5.0,-0.059382592196752175
10.0,5.0,-0.03494650514455515
10.5,5.0,-0.018246901194371078
11.0,5.0,-0.006598064066904641
11.5,5.0,0.001361621574884566
12.0,5.0,0.0069375930435211335
12.5,5.0,0.010779057089004595
13.0,5.0,0.013324964567114819
13.5,5.0,0.01506013008282693
14.0,5.0,0.016236075988409055
14.5,5.0,0.016894717477702416
15.0,5.0,0.01727002049058342
16.0,5.0,0.01750002851833955
17.0,5.0,0.01703715864912354
18.0,5.0,0.016538293300175297
19.0,5.0,0.0157778127671061
20.0,5.0,0.015109511976129114
21.0,5.0,0.014310625036559372
22.0,5.0,0.013650445918680277
23.0,5.0,0.01286297111500346
24.0,5.0,0.012301116015715366
25.0,5.0,0.011693609253933488
50.0,5.0,0.0039029192861596584
100.0,5.0,0.0
2.5,10.0,2327.8950257997835
2.6,10.0,1728.2673429399729
2.7,10.0,1222.5534417915242
2.8,10.0,838.7095611169144
2.9,10.0,560.9636153289673
3.0,10.0,364.67568702839606
3.1,10.0,229.13641700397235
3.2,10.0,136.75945810482756
3.3,10.0,75.5899339614925
3.4,10.0,35.57625833231008
3.5,10.0,8.151433708912165
3.6,10.0,-7.072100934094804
3.7,10.0,-14.369179604846478
3.8,10.0,-18.763256809611548
3.9,10.0,-20.353646575227838
4.0,10.0,-20.28325030814749
4.1,10.0,-19.870435208483336
4.2,10.0,-19.03998183631437
4.3,10.0,-17.287866042646616
4.4,10.0,-15.469719334404793
4.5,10.0,-13.687687613632571
4.6,10.0,-12.007430449803248
4.7,10.0,-10.47081943110844
4.8,10.0,-9.099535797413127
4.9,10.0,-7.898149449490409
5.0,10.0,-6.858514807704648
5.1,10.0,-5.96839111030131
5.2,10.0,-5.202443746203841
5.3,10.0,-4.5456182898379
5.4,10.0,-3.9814251748229768
5.5,10.0,-3.4953942183067124
5.6,10.0,-3.0757668438882346
5.7,10.0,-2.7123837991500848
5.8,10.0,-2.396938617980019
5.9,10.0,-2.1224463090756585
6.0,10.0,-1.8831430233400739
