R	Gamma	E
3.20	10	232340.561768
3.20	20	49557.967168
3.20	30	15039.562103
3.20	40	3338.170102
3.20	50	738.774924
3.20	60	155.77512
3.20	70	8.430114
3.20	80	-22.411002
3.20	90	-33.292326
3.20	100	-30.007413
3.20	110	7.116115
3.20	120	125.975008
3.20	130	826.4141
3.20	140	3432.931458
3.20	150	13023.352325
3.20	160	35866.015536
3.20	170	252228.75378
3.30	10	221925.637296
3.30	20	42886.037934
3.30	30	12696.70706
3.30	40	2645.625596
3.30	50	531.410653
3.30	60	89.922189
3.30	70	-12.509062
3.30	80	-31.671327
3.30	90	-38.544868
3.30	100	-37.430954
3.30	110	-13.949055
3.30	120	69.545124
3.30	130	594.89651
3.30	140	2660.017885
3.30	150	10542.037671
3.30	160	30902.438355
3.30	170	212156.218019
3.30	180	3719442.507031
3.40	0	7870682.651943
3.40	10	194080.478157
3.40	20	37353.227408
3.40	30	10614.872523
3.40	40	2081.537335
3.40	50	375.901681
3.40	60	44.88329
3.40	70	-24.589986
3.40	80	-35.72382
3.40	90	-39.825969
3.40	100	-40.180198
3.40	110	-26.377323
3.40	120	31.151439
3.40	130	419.473585
3.40	140	2037.207233
3.40	150	8495.321192
3.40	160	27113.046587
3.40	170	170447.656615
3.40	180	1715230.059981
3.50	0	2845745.694905
3.50	10	156349.760076
3.50	20	32862.79271
3.50	30	8792.60525
3.50	40	1624.426582
3.50	50	260.160511
3.50	60	14.772855
3.50	70	-30.779076
3.50	80	-36.464507
3.50	90	-38.675406
3.50	100	-39.985871
3.50	110	-32.96035
3.50	120	5.633362
3.50	130	288.003766
3.50	140	1540.787485
3.50	150	6819.01536
3.50	160	24226.41703
3.50	170	136565.269589
3.50	180	907036.879368
3.60	0	1312752.758356
3.60	10	118331.140778
3.60	20	29237.854019
3.60	30	7217.486855
3.60	40	1256.200354
3.60	50	174.775229
3.60	60	-4.749622
3.60	70	-33.12362
3.60	80	-35.172291
3.60	90	-36.115749
3.60	100	-38.009171
3.60	110	-35.655546
3.60	120	-10.770643
3.60	130	190.476755
3.60	140	1149.329736
3.60	150	5450.677313
3.60	160	21931.418069
3.60	170	114099.482061
3.60	180	542351.104826
3.70	0	652487.381725
3.70	10	86697.439416
3.70	20	26285.229043
3.70	30	5870.672328
3.70	40	961.521679
3.70	50	112.438788
3.70	60	-16.835781
3.70	70	-33.016492
3.70	80	-32.695226
3.70	90	-32.810417
3.70	100	-35.030679
3.70	110	-35.820203
3.70	120	-20.790308
3.70	130	119.143864
3.70	140	843.889024
3.70	150	4335.6178
3.70	160	19953.725328
3.70	170	102072.864252
3.70	180	382851.737927
3.80	0	339442.647031
3.80	10	63843.42325
3.80	20	23823.31172
3.80	30	4730.477966
3.80	40	727.414224
3.80	50	67.5052
3.80	60	-23.764071
3.80	70	-31.405875
3.80	80	-29.600937
3.80	90	-29.201234
3.80	100	-31.563685
3.80	110	-35.123988
3.80	120	-24.343874
3.80	130	67.976439
3.80	140	608.099694
3.80	150	3427.924389
3.80	160	18083.918295
3.80	170	97227.770354
3.80	180	340075.420918
3.90	0	185640.378773
3.90	10	50371.104513
3.90	20	21709.979655
3.90	30	3774.488055
3.90	40	542.898149
3.90	50	35.621799
3.90	60	-27.160467
3.90	70	-28.932086
3.90	80	-26.26093
3.90	90	-25.562803
3.90	100	-27.940908
3.90	110	-32.003362
3.90	120	-28.773964
3.90	130	31.702922
3.90	140	428.165817
3.90	150	2690.137638
3.90	160	16198.874381
3.90	170	95634.756993
3.90	180	403229.893509
4.00	0	110370.505891
4.00	10	41345.6402
4.00	30	2980.682752
4.00	40	398.731894
4.00	50	13.455734
4.00	60	-28.1832
4.00	70	-26.633202
4.00	80	-22.912667
4.00	90	-22.064085
4.00	100	-24.377006
4.00	110	-28.60109
4.00	120	-30.525596
4.00	130	6.704491
4.00	140	292.337377
4.00	150	2091.887116
4.00	160	14261.825547
4.00	170	93574.122666
4.00	180	669864.857092
4.10	0	73943.332704
4.10	10	36292.225985
4.10	30	2327.815268
4.10	40	287.164893
4.10	50	-1.54059
4.10	60	-27.647743
4.10	70	-23.676451
4.10	80	-19.701479
4.10	90	-18.797772
4.10	100	-20.995037
4.10	110	-25.159272
4.10	120	-30.474888
4.10	130	-9.965351
4.10	140	191.361095
4.10	150	1608.603341
4.10	160	12299.014618
4.10	170	88324.618736
4.20	0	57449.4946
4.20	10	33112.501107
4.20	20	10049.136945
4.20	30	1796.477759
4.20	40	201.754293
4.20	50	-11.293104
4.20	60	-26.128857
4.20	70	-20.698966
