R,theta_1,E
12.5,60.0,-0.543496
12.5,90.0,-0.59453
12.5,120.0,-0.543496
12.5,150.0,-0.436195
12.5,180.0,-0.379893
13.0,0.0,-0.36747
13.0,30.0,-0.414145
13.0,60.0,-0.50292
13.0,90.0,-0.545057
13.0,120.0,-0.502927
13.0,150.0,-0.414144
13.0,180.0,-0.367475
13.5,0.0,-0.355587
13.5,30.0,-0.394593
13.5,60.0,-0.468534
13.5,90.0,-0.503472
13.5,120.0,-0.468526
13.5,150.0,-0.394592
13.5,180.0,-0.35559
14.0,0.0,-0.344169
14.0,30.0,-0.37697
14.0,60.0,-0.438887
14.0,90.0,-0.468055
14.0,120.0,-0.438888
14.0,150.0,-0.376966
14.0,180.0,-0.344172
14.5,0.0,-0.333153
14.5,30.0,-0.360912
14.5,60.0,-0.413116
14.5,90.0,-0.437565
14.5,120.0,-0.413116
14.5,150.0,-0.360909
14.5,180.0,-0.333158
15.0,0.0,-0.322493
15.0,30.0,-0.34617
15.0,60.0,-0.390419
15.0,90.0,-0.410959
15.0,120.0,-0.390411
15.0,150.0,-0.346173
15.0,180.0,-0.322494
16.0,0.0,-0.302316
16.0,30.0,-0.31985
16.0,60.0,-0.352106
16.0,90.0,-0.36685
16.0,120.0,-0.352116
16.0,150.0,-0.319851
16.0,180.0,-0.302317
17.0,0.0,-0.283623
17.0,30.0,-0.296894
17.0,60.0,-0.320874
17.0,90.0,-0.331549
17.0,120.0,-0.32087
17.0,150.0,-0.296889
17.0,180.0,-0.28362
18.0,0.0,-0.266346
18.0,30.0,-0.276632
18.0,60.0,-0.294722
18.0,90.0,-0.302537
18.0,120.0,-0.294723
18.0,150.0,-0.27663
18.0,180.0,-0.266347
19.0,0.0,-0.250422
19.0,30.0,-0.25853
19.0,60.0,-0.272403
19.0,90.0,-0.278136
19.0,120.0,-0.272412
19.0,150.0,-0.258528
19.0,180.0,-0.250416
20.0,0.0,-0.235732
20.0,30.0,-0.242289
20.0,60.0,-0.253035
20.0,90.0,-0.257262
20.0,120.0,-0.25304
20.0,150.0,-0.242287
20.0,180.0,-0.235737
21.0,0.0,-0.220663
21.0,30.0,-0.226472
21.0,60.0,-0.235721
21.0,90.0,-0.238495
21.0,120.0,-0.235721
21.0,150.0,-0.226474
21.0,180.0,-0.22066
22.0,0.0,-0.208163
22.0,30.0,-0.212996
22.0,60.0,-0.220389
22.0,90.0,-0.222941
22.0,120.0,-0.22039
22.0,150.0,-0.212999
22.0,180.0,-0.20817
23.0,0.0,-0.197016
23.0,30.0,-0.2011
23.0,60.0,-0.206996
23.0,90.0,-0.208806
23.0,120.0,-0.206995
23.0,150.0,-0.201097
23.0,180.0,-0.197014
24.0,0.0,-0.186617
24.0,30.0,-0.190135
24.0,60.0,-0.194885
24.0,90.0,-0.196132
24.0,120.0,-0.194891
24.0,150.0,-0.190129
24.0,180.0,-0.186617
25.0,0.0,-0.176937
25.0,30.0,-0.179993
25.0,60.0,-0.183869
25.0,90.0,-0.184667
25.0,120.0,-0.183864
25.0,150.0,-0.180002
25.0,180.0,-0.176944
50.0,0.0,-0.057016
50.0,30.0,-0.058196
50.0,60.0,-0.058307
50.0,90.0,-0.057258
50.0,120.0,-0.058308
50.0,150.0,-0.058193
50.0,180.0,-0.057016
100.0,0.0,0.002613
100.0,30.0,0.001506
100.0,60.0,0.001492
100.0,90.0,0.002601
100.0,120.0,0.001493
100.0,150.0,0.001502
100.0,180.0,0.002615
