R	Gamma	E
2.70	120	-96.222983968777
2.70	130	-96.221585905473
2.70	140	-96.218469991124
2.70	150	-96.212258004983
2.70	160	-96.202172250024
2.70	170	-96.190717630111
2.70	180	-96.18517470752
2.80	0	-96.218679766954
2.80	10	-96.219041775511
2.80	20	-96.219985286436
2.80	30	-96.221187044224
2.80	40	-96.222327348123
2.80	50	-96.223213510755
2.80	60	-96.223800867122
2.80	70	-96.224134982258
2.80	80	-96.224288008339
2.80	90	-96.224322547144
2.80	100	-96.224268105549
2.80	110	-96.224101632007
2.80	120	-96.223704195087
2.80	130	-96.22276515708
2.80	140	-96.220645213992
2.80	150	-96.216393436608
2.80	160	-96.209516247619
2.80	170	-96.201807067221
2.80	180	-96.198136470615
2.90	0	-96.22081082411
2.90	10	-96.221052311933
2.90	20	-96.22168413085
2.90	30	-96.222492396027
2.90	40	-96.223260128361
2.90	50	-96.223854629148
2.90	60	-96.224246066631
2.90	70	-96.224466492464
2.90	80	-96.22456575605
2.90	90	-96.224587624539
2.90	100	-96.224552687728
2.90	110	-96.224446287373
2.90	120	-96.224189250309
2.90	130	-96.223570215329
2.90	140	-96.222149203682
2.90	150	-96.219274288612
2.90	160	-96.214632172098
2.90	170	-96.209471876362
2.90	180	-96.207039760378
3.00	0	-96.222257212241
3.00	10	-96.222416751486
3.00	20	-96.222836213564
3.00	30	-96.223375131838
3.00	40	-96.223886665762
3.00	50	-96.224280522222
3.00	60	-96.224537582425
3.00	70	-96.224680638584
3.00	80	-96.224744054082
3.00	90	-96.224758069254
3.00	100	-96.224736721384
3.00	110	-96.224671168596
3.00	120	-96.224510011538
3.00	130	-96.224111156564
3.00	140	-96.223174836506
3.00	150	-96.22125674954
3.00	160	-96.218155505192
3.00	170	-96.214725942068
3.00	180	-96.213120702019
3.10	0	-96.223231744819
3.10	10	-96.223335806416
3.10	20	-96.223610930597
3.10	30	-96.223965713057
3.10	40	-96.224301744433
3.10	50	-96.224558684902
3.10	60	-96.22472455427
3.10	70	-96.224815438145
3.10	80	-96.224855054049
3.10	90	-96.224864137439
3.10	100	-96.22485201276
3.10	110	-96.224813744401
3.10	120	-96.224717103074
3.10	130	-96.224467659841
3.10	140	-96.223863281583
3.10	150	-96.222602994543
3.10	160	-96.220553316873
3.10	170	-96.218293658171
3.10	180	-96.217242606776
3.20	0	-96.223881891539
3.20	10	-96.223948705882
3.20	20	-96.224126221133
3.20	30	-96.224355630576
3.20	40	-96.22457221392
3.20	50	-96.22473662801
3.20	60	-96.224841313038
3.20	70	-96.224897307883
3.20	80	-96.224921116497
3.20	90	-96.224926997802
3.20	100	-96.224920945949
3.20	110	-96.224900511343
3.20	120	-96.224846499363
3.20	130	-96.22469688222
3.20	140	-96.22431673635
3.20	150	-96.223503456821
3.20	160	-96.222164503057
3.20	170	-96.220690526757
3.20	180	-96.220009997121
3.30	0	-96.224309576802
3.30	10	-96.224351697958
3.30	20	-96.224463860465
3.30	30	-96.224608684535
3.30	40	-96.224744801455
3.30	50	-96.224847398642
3.30	60	-96.224911526645
3.30	70	-96.224944408358
3.30	80	-96.224957698341
3.30	90	-96.224961378437
3.30	100	-96.224959194429
3.30	110	-96.224950119299
3.30	120	-96.224923624014
3.30	130	-96.224839569769
3.30	140	-96.224608602232
3.30	150	-96.224095193707
3.30	160	-96.223232120126
3.30	170	-96.222281412634
3.30	180	-96.221846669342
3.40	0	-96.224585258071
3.40	10	-96.22461129882
3.40	20	-96.224680420519
3.40	30	-96.22476909091
3.40	40	-96.224851829608
