R,theta,E_cm
7.2,25.0,-0.6008519645223267
7.4,25.0,-0.5045205971783244
7.6,25.0,-0.4258808630928394
7.8,25.0,-0.3612771890953141
8.0,25.0,-0.3078908649500143
8.2,25.0,-0.2635341633094882
8.4,25.0,-0.22649474604873163
8.6,25.0,-0.1954180154053856
8.8,25.0,-0.16922920642508474
9.0,25.0,-0.1470651231138794
9.5,25.0,-0.10502760826758036
10.0,25.0,-0.07641075275567318
10.5,25.0,-0.056517790530510724
11.0,25.0,-0.042428396874972664
11.5,25.0,-0.03228098700465381
12.0,25.0,-0.024861208607471496
12.5,25.0,-0.019359639025067706
13.0,25.0,-0.01522934408138795
13.5,25.0,-0.012093052723718358
14.0,25.0,-0.009685416418207495
14.5,25.0,-0.007819003542421541
15.0,25.0,-0.006359716041504981
16.0,25.0,-0.004291827037156253
17.0,25.0,-0.00296685903456293
18.0,25.0,-0.0020944466258650605
19.0,25.0,-0.0015060370239827136
20.0,25.0,-0.0011002278342313332
21.0,25.0,-0.0008162281463378918
22.0,25.0,-0.0006125531777082927
23.0,25.0,-0.00046550535837411647
24.0,25.0,-0.00035708538900820487
25.0,25.0,-0.00027609945826327474
50.0,25.0,7.900229630166677e-06
100.0,25.0,0.0
2.5,30.0,1858.430156336956
2.6,30.0,1364.883500044711
2.7,30.0,967.2050033637798
2.8,30.0,666.3676423258299
2.9,30.0,446.6291693632352
3.0,30.0,290.5562811536418
3.1,30.0,182.86176533810843
3.2,30.0,109.10586497880571
3.3,30.0,59.73845386420636
3.4,30.0,27.48889145917016
3.5,30.0,7.483407801013832
3.6,30.0,-6.724624532319222
3.7,30.0,-13.46236903493289
3.8,30.0,-16.43079259566558
3.9,30.0,-17.708269479732877
4.0,30.0,-17.75185055847363
4.1,30.0,-16.92770883663799
4.2,30.0,-15.711053858691358
4.3,30.0,-14.32225593052811
4.4,30.0,-12.898116881841903
4.5,30.0,-11.519793161085657
4.6,30.0,-10.231874331741357
4.7,30.0,-9.055635166391681
4.8,30.0,-7.997817929347007
4.9,30.0,-7.06072775977651
5.0,30.0,-6.229055865296643
5.1,30.0,-5.497829386639341
5.2,30.0,-4.856927474674722
5.3,30.0,-4.296247267096546
5.4,30.0,-3.806238992526811
5.5,30.0,-3.3780602292829447
5.6,30.0,-3.003706962483626
5.7,30.0,-2.6760372660241445
5.8,30.0,-2.3888127935968404
5.9,30.0,-2.136611642246015
6.0,30.0,-1.914762296717185
6.2,30.0,-1.5465999686099012
6.4,30.0,-1.2584978159145053
6.6,30.0,-1.0313406981456719
6.8,30.0,-0.8509075314008537
7.0,30.0,-0.7065388754906815
7.2,30.0,-0.5901975676299617
7.4,30.0,-0.49579033817161317
7.6,30.0,-0.41867375775448923
7.8,30.0,-0.355287508207296
8.0,30.0,-0.30288508545938725
8.2,30.0,-0.25932902983048434
8.4,30.0,-0.22294430550366712
8.6,30.0,-0.19240726378038234
8.8,30.0,-0.1666639865814514
9.0,30.0,-0.1448710362843053
9.5,30.0,-0.10351543008602093
10.0,30.0,-0.07534432468002933
10.5,30.0,-0.0557509473963971
11.0,30.0,-0.041867861079724664
11.5,30.0,-0.03186442689049059
12.0,30.0,-0.024547360835266686
12.5,30.0,-0.01912062978818696
13.0,30.0,-0.015046085576697977
13.5,30.0,-0.011950832995764955
14.0,30.0,-0.009573702867124468
14.5,30.0,-0.007731433567164459
15.0,30.0,-0.006290145365575058
16.0,30.0,-0.004248371095807215
17.0,30.0,-0.002939424995941948
18.0,30.0,-0.002077548306032355
19.0,30.0,-0.0014952829806487956
20.0,30.0,-0.0010949599748371953
21.0,30.0,-0.0008138141006475052
22.0,30.0,-0.0006127746211760154
23.0,30.0,-0.0004668246624142114
24.0,30.0,-0.00035993920271195636
25.0,30.0,-0.00027939303998039124
50.0,30.0,2.1832454564219005e-07
100.0,30.0,0.0
2.5,35.0,1743.4477918576818
2.6,35.0,1262.5640860374122
2.7,35.0,887.6777713608451
2.8,35.0,608.7525883873633
2.9,35.0,406.32282322133176
3.0,35.0,263.24494554643485
3.1,35.0,164.92952748599595
3.2,35.0,97.56603751842188
3.3,35.0,52.681751272985885
3.4,35.0,23.376477457962444
3.5,35.0,4.895374817027572
3.6,35.0,-7.640729415178877
3.7,35.0,-13.666320882751272
3.8,35.0,-16.22500418305572
3.9,35.0,-17.415440940586834
4.0,35.0,-17.234355937840704
4.1,35.0,-16.387643004200065
4.2,35.0,-15.18902664895018
4.3,35.0,-13.839375749643658
4.4,35.0,-12.463514754713632
4.5,35.0,-11.135439750559899
4.6,35.0,-9.89582531114983
4.7,35.0,-8.763959090786877
4.8,35.0,-7.745816279847067
4.9,35.0,-6.843422415491819
5.0,35.0,-6.041879779267809
5.1,35.0,-5.336548235395607
5.2,35.0,-4.7178139186484565
5.3,35.0,-4.1761068563900405
5.4,35.0,-3.7023100713459542
5.5,35.0,-3.287959747784986
5.6,35.0,-2.9253731728217933
5.7,35.0,-2.607729737942254
5.8,35.0,-2.329067186940205
5.9,35.0,-2.0842050494992845
6.0,35.0,-1.868666917654684
6.2,35.0,-1.51067943345634
6.4,35.0,-1.2302567000645703
6.6,35.0,-1.0089518684282603
6.8,35.0,-0.8330058636915846
7.0,35.0,-0.6921011762117921
7.2,35.0,-0.578453918390167
7.4,35.0,-0.48616088769122
7.6,35.0,-0.41071845731714535
7.8,35.0,-0.34867385888675456
8.0,35.0,-0.2973536677926721
8.2,35.0,-0.25467857977573416
8.4,35.0,-0.21901505003945887
8.6,35.0,-0.18907168889637263
8.8,35.0,-0.16381959514130542
9.0,35.0,-0.14243508328522467
9.5,35.0,-0.10183096264872901
10.0,35.0,-0.0741514804546145
10.5,35.0,-0.05488840949500642
11.0,35.0,-0.04123225906784072
11.5,35.0,-0.031387946045314835
12.0,35.0,-0.02418456781885098
12.5,35.0,-0.018841018423660927
13.0,35.0,-0.014826828473353686
13.5,35.0,-0.011777227554914447
14.0,35.0,-0.009434776720888181
14.5,35.0,-0.007618622155509058
15.0,35.0,-0.0061970860874561145
16.0,35.0,-0.004184283484894991
17.0,35.0,-0.002892896916343517
18.0,35.0,-0.0020422109188591264
19.0,35.0,-0.0014682855911190985
20.0,35.0,-0.001073230444701636
21.0,35.0,-0.000795814801320347
22.0,35.0,-0.0005967527184479593
23.0,35.0,-0.00045277703736317675
24.0,35.0,-0.00034742920624665887
25.0,35.0,-0.0002681992286331081
50.0,35.0,8.12167309788947e-06
100.0,35.0,0.0
2.5,40.0,1618.709973871305
2.6,40.0,1157.806825311994
2.7,40.0,807.5949476717068
2.8,40.0,550.6117818738654
2.9,40.0,365.30149654814784
3.0,40.0,236.19612354756768
3.1,40.0,146.651546859995
3.2,40.0,85.8903585545456
3.3,40.0,45.354626525630245
3.4,40.0,19.125332667321885
3.5,40.0,0.9122610047684816
3.6,40.0,-8.590619999644208
3.7,40.0,-13.899547354272672
3.8,40.0,-16.042161405727715
3.9,40.0,-16.997557514568648
4.0,40.0,-16.71881792931013
4.1,40.0,-15.845825107926593
4.2,40.0,-14.662039089937405
4.3,40.0,-13.349133512252969
4.4,40.0,-12.01994138194517
4.5,40.0,-10.741270116023871
4.6,40.0,-9.54970569973883
4.7,40.0,-8.462396119516379
4.8,40.0,-7.488472840023991
4.9,40.0,-6.617274880324788
5.0,40.0,-5.84653528621263
5.1,40.0,-5.167824478363983
5.2,40.0,-4.57202306545875
5.3,40.0,-4.050023726405286
5.4,40.0,-3.5931065195911223
5.5,40.0,-3.1931611934110284
5.6,40.0,-2.8428555394430792
5.7,40.0,-2.5357073802891965
5.8,40.0,-2.2660220039982137
5.9,40.0,-2.0288722029645583
6.0,40.0,-1.8199795428024876
6.2,40.0,-1.4727241478455366
6.4,40.0,-1.2004057338691998
6.6,40.0,-0.9852758252600413
6.8,40.0,-0.8140643224092657
7.0,40.0,-0.676816302841681
7.2,40.0,-0.5660145343207743
7.4,40.0,-0.4759577302076325
7.6,40.0,-0.40228909631816023
7.8,40.0,-0.34166493609525006
8.0,40.0,-0.291492377332102
8.2,40.0,-0.24975115384561605
8.4,40.0,-0.21485205631668605
8.6,40.0,-0.18553836499568646
8.8,40.0,-0.16080730588771644
9.0,40.0,-0.1398551608429034
