R	Gamma	E
4.90	75	-78.720494212747
4.90	80	-78.720494162543
4.90	85	-78.720494139356
4.90	90	-78.720494120653
5.00	0	-78.720498898513
5.00	5	-78.720498750319
5.00	10	-78.720498294487
5.00	15	-78.720497573721
5.00	20	-78.720496663861
5.00	25	-78.720495642184
5.00	30	-78.720494641228
5.00	35	-78.720493764916
5.00	40	-78.720493037143
5.00	45	-78.720492486526
5.00	50	-78.720492087916
5.00	55	-78.720491808407
5.00	60	-78.720491616454
5.00	65	-78.720491490913
5.00	70	-78.720491401046
5.00	75	-78.720491348894
5.00	80	-78.720491306061
5.00	85	-78.720491294792
5.00	90	-78.720491295359
5.10	0	-78.720496319362
5.10	5	-78.720496151867
5.10	10	-78.720495619898
5.10	15	-78.720494814521
5.10	20	-78.7204938178
5.10	25	-78.720492743744
5.10	30	-78.72049172667
5.10	35	-78.720490864039
5.10	40	-78.720490177509
5.10	45	-78.720489676784
5.10	50	-78.72048933339
5.10	55	-78.72048910898
5.10	60	-78.720488973674
5.10	65	-78.720488882203
5.10	70	-78.720488831201
5.10	75	-78.720488789904
5.10	80	-78.720488779633
5.10	85	-78.720488777275
5.10	90	-78.720488808308
5.20	0	-78.72049395169
5.20	5	-78.720493764152
5.20	10	-78.720493195451
5.20	15	-78.720492334772
5.20	20	-78.720491284239
5.20	25	-78.720490195905
5.20	30	-78.720489182569
5.20	35	-78.720488339656
5.20	40	-78.720487686555
5.20	45	-78.720487226072
5.20	50	-78.720486925187
5.20	55	-78.720486748774
5.20	60	-78.720486639864
5.20	65	-78.720486569855
5.20	70	-78.720486545393
5.20	75	-78.720486539187
5.20	80	-78.720486541453
5.20	85	-78.720486550709
5.20	90	-78.720486544262
5.30	0	-78.720491689486
5.30	5	-78.720491492968
5.30	10	-78.720490905957
5.30	15	-78.720490025288
5.30	20	-78.720488981821
5.30	25	-78.720487905759
5.30	30	-78.720486928302
5.30	35	-78.720486112334
5.30	40	-78.720485499622
5.30	45	-78.720485092165
5.30	50	-78.720484822831
5.30	55	-78.720484669165
5.30	60	-78.720484578856
5.30	65	-78.720484548755
5.30	70	-78.720484545056
5.30	75	-78.72048456019
5.30	80	-78.720484570958
5.30	85	-78.720484579026
5.30	90	-78.720484574574
5.40	0	-78.72048946799
5.40	5	-78.720489274126
5.40	10	-78.720488696065
5.40	15	-78.720487851185
5.40	20	-78.720486848925
5.40	25	-78.720485809551
5.40	30	-78.720484887475
5.40	35	-78.720484140799
5.40	40	-78.720483577118
5.40	45	-78.720483198491
5.40	50	-78.72048295799
5.40	55	-78.720482835761
5.40	60	-78.720482784714
5.40	65	-78.720482775475
5.40	70	-78.720482794091
5.40	75	-78.720482812889
5.40	80	-78.720482835412
5.40	85	-78.720482847759
5.40	90	-78.720482847111
5.50	0	-78.720487285857
5.50	5	-78.720487098175
5.50	10	-78.720486567883
5.50	15	-78.720485772157
5.50	20	-78.720484838424
5.50	25	-78.720483892587
5.50	30	-78.720483043279
5.50	35	-78.720482358475
5.50	40	-78.720481851176
5.50	45	-78.720481523681
5.50	50	-78.720481334458
5.50	55	-78.720481243508
5.50	60	-78.720481222249
5.50	65	-78.720481229355
5.50	70	-78.720481256446
5.50	75	-78.720481285514
5.50	80	-78.720481308689
5.50	85	-78.720481323997
5.50	90	-78.720481322777
5.60	0	-78.720485166762
5.60	5	-78.720484995499
5.60	10	-78.72048451388
5.60	15	-78.720483791698
5.60	20	-78.720482949895
5.60	25	-78.720482104939
5.60	30	-78.720481354435
5.60	35	-78.720480757628
5.60	40	-78.720480331896
5.60	45	-78.720480061717
5.60	50	-78.720479920931
5.60	55	-78.720479859332
5.60	60	-78.720479854566
5.60	65	-78.720479876911
5.60	70	-78.720479908909
5.60	75	-78.720479941843
5.60	80	-78.720479968983
5.60	85	-78.720479986671
5.60	90	-78.720479986567
5.70	0	-78.720483148242
5.70	5	-78.720482997158
5.70	10	-78.720482570208
5.70	15	-78.720481942971
5.70	20	-78.720481209233
5.70	25	-78.720480478045
5.70	30	-78.72047983957
5.70	35	-78.720479345856
5.70	40	-78.720478998638
5.70	45	-78.720478787063
5.70	50	-78.720478684054
5.70	55	-78.720478648909
5.70	60	-78.720478659514
5.70	65	-78.720478690199
5.70	70	-78.72047872871
5.70	75	-78.720478766037
5.70	80	-78.720478796085
5.70	85	-78.720478815499
5.70	90	-78.720478816272
5.80	0	-78.720481268521
5.80	5	-78.720481139292
5.80	10	-78.720480775216
5.80	15	-78.720480242201
5.80	20	-78.720479626954
5.80	25	-78.720479018526
5.80	30	-78.720478494899
5.80	35	-78.720478093859
5.80	40	-78.720477826735
5.80	45	-78.72047767088
5.80	50	-78.720477603926
5.80	55	-78.720477592913
5.80	60	-78.720477615456
5.80	65	-78.720477654069
5.80	70	-78.720477697197
5.80	75	-78.720477737262
5.80	80	-78.72047776925
5.80	85	-78.72047778975
5.80	90	-78.720477791193
5.90	0	-78.720479558249
5.90	5	-78.720479451051
5.90	10	-78.720479149762
5.90	15	-78.720478710429
