R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4.7,-14.46406067464183,15.70182562541211,160.7903098236308,30.538861893729692,189.10522336828518,9.539929742039327,137.7717755897791,-16.585805780820266,81.16660494642016,-23.04386144731507,41.3025744287079,-16.940233298152496,18.805965644302894,-9.384463308778924,7.74539431956822,-4.875451918582329,3.044341627367036,-4.877928071794346,0.9509249736028439
4.8,-26.27625418539285,11.974974989879177,103.39487203856297,28.433959804753243,128.51408411325122,13.936478814952475,93.90120455329232,-7.257341171862045,55.21447364947127,-14.064127901648,27.970188116397303,-10.971533364606593,12.6138355288561,-6.127944420857601,5.14243207537633,-2.9707688342097676,2.0736448860472647,-2.460155348850076,0.6933223805027864
4.9,-33.86806187968992,8.183226806773842,63.122678805702726,24.844994225498215,85.8686952832365,15.133763674215897,63.1884873155049,-1.8504123394350231,37.13877221132332,-8.320788048175983,18.786199817769813,-7.027280364582102,8.436540258646762,-3.9913864257981375,3.4176294732469907,-1.8450033810905528,1.3922948729108375,-1.2861153309507805,0.48142214520044485
5.0,-38.44778146954996,4.711333558187026,35.263357876592394,20.80516218386884,56.17791094790015,14.61149738051663,41.924780398830215,1.1359629256951018,24.670637409427464,-4.685814455156812,12.492460761747727,-4.433587495640979,5.612489983716018,-2.5864259642331904,2.2649777419275874,-1.1651834311452784,0.920398955559537,-0.7175057204263718,0.3211878396453031
5.1,-40.91188395892884,1.7165129010068343,16.304996427471554,16.85241376570089,35.7301204590162,13.232749764592093,27.363732888190192,2.6402738578349476,16.15733894007792,-2.422034534920421,8.207550254135853,-2.739911892352983,3.703560511671766,-1.6621106070204172,1.4900084768846513,-0.7442116151272599,0.5974453532008773,-0.4331705485496763,0.20634560371875726
5.2,-41.91599898009684,-0.7626471254771471,3.665609143298819,13.248794250181625,21.80917543881082,11.497461001553392,17.503667645621576,3.2517202296061742,10.407297627792003,-1.0462536967362206,5.313716814578849,-1.6446195102177994,2.4165219003859417,-1.0550651706019727,0.9674885547499437,-0.47681997679484156,0.3789143359175148,-0.27848903887072884,0.12706485569596573
5.3,-41.93364229364267,-2.746949844923316,-4.531533059723923,10.103653021765908,12.453648032068703,9.690615769502099,10.9054659373642,3.34098561276612,6.5696663734840115,-0.2411612763457072,3.378367897089586,-0.9456330623798425,1.5532269034803539,-0.6581295951987545,0.6155550466919711,-0.30325286388928424,0.2327510901041537,-0.1830138137980344,0.07382005528425263
5.4,-41.302858641697,-4.28468034629812,-9.637476252574844,7.442789160131237,6.263050792327219,7.969142833861192,6.546997011693704,3.140909610517334,4.04252175019596,0.2016622852941413,2.099213828368124,-0.5076033443875428,0.9787094634527538,-0.4005226726745673,0.379849086592411,-0.18894143856818654,0.136253039601859,-0.11674534646195739,0.038797130610899275
5.5,-40.26223614750613,-5.434586401977014,-12.616706167489568,5.247382095819984,2.2472221075311603,6.413261757495744,3.710378671825739,2.7966562402280464,2.4039376556308953,0.4188340427157518,1.2657420363081628,-0.23999848488709422,0.6005037151043913,-0.23521298556432246,0.22372209414033903,-0.11327491475321932,0.07354503124213618,-0.06779624458871585,0.01613744506198818
5.6,-38.9781459746642,-6.2569194185095816,-14.152523160801554,3.4760739615904175,-0.28777707182905277,5.057182836337543,1.8967191537331074,2.397233550860118,1.3609057327892924,0.49945651306053385,0.7320529980183466,-0.08243163832098763,0.3550527782529202,-0.13081309090408472,0.1221308144196526,-0.06346847205983266,0.03363527683721148,-0.03156860644346304,0.001699634297558192
5.7,-37.56502328118143,-6.8088324775233655,-14.72550332790449,2.077619849639666,-1.8244130403760597,3.9077482175494787,0.7628507614227334,1.9955325122040355,0.7119083288593594,0.5011246447528314,0.3976558578917056,0.005194888181855198,0.19864756989819007,-0.06632785718962005,0.057779511893520284,-0.031240118048820358,0.008971042028538318,-0.005903524018517177,-0.007322472139209439
5.8,-36.10028084242074,-7.142147966158826,-14.671148133463824,0.9981912699851461,-2.695634225387146,2.9559459365646115,0.07511510312576955,1.6212264558625844,0.31977350997327236,0.4605390926117839,0.1938730248532892,0.049328501525366435,0.10129969316046783,-0.027716890544666258,0.018639488782342943,-0.011009241830363021,-0.005606684055031082,0.010826059660107714,-0.012772712382795131
5.9,-34.63516576066665,-7.3024320397938105,-14.221798329383533,0.18558006564353222,-3.1295693588639986,2.1841318809392085,-0.32394125072879737,1.2891722239443733,0.09217293651160006,0.4005801449068221,0.07421554585214514,0.06724823325980865,0.042544376687028734,-0.005620535527802187,-0.0036785278695909184,0.0010940885479041801,-0.013604925001870135,0.0202793984271127,-0.01583884098164082
6.0,-33.20259634497781,-7.328803464974712,-13.53685030753197,-0.40845066178864486,-3.2814167975834687,1.5706016139513315,-0.5392791099017809,1.0049328080552222,-0.03226336878711771,0.3350410847749393,0.007578744731136805,0.07009504716005639,0.008534108521344315,0.0061597501863810125,-0.015015961557821159,0.007793507202846518,-0.01739714491175034,0.024175626262846552,-0.01728099668064598
6.2,-30.507198882586536,-7.105647667042137,-11.856600460452634,-1.1073589059405595,-3.123436280989306,0.7275023844274946,-0.6712973531693065,0.5763393490310575,-0.11818054180608857,0.21495692029530938,-0.041486098362568766,0.056079563378495595,-0.01912371193987213,0.013580160410557754,-0.019638193485235197,0.012071129584442649,-0.018226761974710327,0.021696289550484082,-0.017097286986253145
