R	Gamma	E
6.40	90	-1.750988
6.40	100	-1.607652
6.40	110	-1.592074
6.40	120	-1.750624
6.40	130	-2.147788
6.40	140	-2.82151
6.40	150	-3.722859
6.40	160	-4.684369
6.40	170	-5.446199
6.40	180	-5.743271
6.60	0	-5.036846
6.60	10	-4.932417
6.60	20	-4.63185
6.60	30	-4.175746
6.60	40	-3.62689
6.60	50	-3.057553
6.60	60	-2.536086
6.60	70	-2.106371
6.60	80	-1.780317
6.60	90	-1.549019
6.60	100	-1.40641
6.60	110	-1.366789
6.60	120	-1.46634
6.60	130	-1.757053
6.60	140	-2.27522
6.60	150	-2.982605
6.60	160	-3.744704
6.60	170	-4.352884
6.60	180	-4.591061
6.80	0	-4.391485
6.80	10	-4.303332
6.80	20	-4.049957
6.80	30	-3.665203
6.80	40	-3.200079
6.80	50	-2.71435
6.80	60	-2.264823
6.80	70	-1.889379
6.80	80	-1.598569
6.80	90	-1.385592
6.80	100	-1.244981
6.80	110	-1.188244
6.80	120	-1.244251
6.80	130	-1.453101
6.80	140	-1.848475
6.80	150	-2.403998
6.80	160	-3.012287
6.80	170	-3.504799
6.80	180	-3.69893
7.00	0	-3.857954
7.00	10	-3.783069
7.00	20	-3.568702
7.00	30	-3.24252
7.00	40	-2.846612
7.00	50	-2.430086
7.00	60	-2.040437
7.00	70	-1.710112
7.00	80	-1.448777
7.00	90	-1.251282
7.00	100	-1.113384
7.00	110	-1.044839
7.00	120	-1.068623
7.00	130	-1.215289
7.00	140	-1.513693
7.00	150	-1.950374
7.00	160	-2.438396
7.00	170	-2.838901
7.00	180	-2.997921
7.20	0	-3.416815
7.20	10	-3.353028
7.20	20	-3.170137
7.20	30	-2.891654
7.20	40	-2.552001
7.20	50	-2.192369
7.20	60	-1.852746
7.20	70	-1.560336
7.20	80	-1.323743
7.20	90	-1.139465
7.20	100	-1.004997
7.20	110	-0.92817
7.20	120	-0.928166
7.20	130	-1.02792
7.20	140	-1.2505
7.20	150	-1.592484
7.20	160	-1.986787
7.20	170	-2.314911
7.20	180	-2.44591
7.40	0	-3.050945
7.40	10	-2.996004
7.40	20	-2.838399
7.40	30	-2.597973
7.40	40	-2.304094
7.40	50	-1.99164
7.40	60	-1.694082
7.40	70	-1.433616
7.40	80	-1.218084
7.40	90	-1.0454
7.40	100	-0.91456
7.40	110	-0.832352
7.40	120	-0.814463
7.40	130	-0.879232
7.40	140	-1.043168
7.40	150	-1.308723
7.40	160	-1.628112
7.40	170	-1.899806
7.40	180	-2.009187
7.60	0	-2.744916
7.60	10	-2.697013
7.60	20	-2.559721
7.60	30	-2.350147
7.60	40	-2.094257
7.60	50	-1.821138
7.60	60	-1.558696
7.60	70	-1.325359
7.60	80	-1.127745
7.60	90	-0.965689
7.60	100	-0.838647
7.60	110	-0.753083
7.60	120	-0.721935
7.60	130	-0.760102
7.60	140	-0.879241
7.60	150	-1.083253
7.60	160	-1.34012
7.60	170	-1.566071
7.60	180	-1.658047
7.80	0	-2.486104
7.80	10	-2.444084
7.80	20	-2.323414
7.80	30	-2.139655
7.80	40	-1.915196
7.80	50	-1.675207
7.80	60	-1.442471
7.80	70	-1.232085
7.80	80	-1.050116
7.80	90	-0.897402
7.80	100	-0.774574
7.80	110	-0.687086
7.80	120	-0.645964
7.80	130	-0.663771
7.80	140	-0.748921
7.80	150	-0.903946
7.80	160	-1.107661
7.80	170	-1.293092
7.80	180	-1.370023
8.00	0	-2.265199
8.00	10	-2.228075
8.00	20	-2.121599
8.00	30	-1.959834
8.00	40	-1.762063
8.00	50	-1.549759
8.00	60	-1.342002
8.00	70	-1.151092
8.00	80	-0.982719
8.00	90	-0.838617
8.00	100	-0.719977
8.00	110	-0.631865
8.00	120	-0.583352
8.00	130	-0.585317
8.00	140	-0.644395
8.00	150	-0.761049
8.00	160	-0.919653
8.00	170	-1.068571
8.00	180	-1.131317
8.20	0	-2.075582
8.20	10	-2.042695
8.20	20	-1.948445
8.20	30	-1.805471
8.20	40	-1.630243
8.20	50	-1.441409
8.20	60	-1.254559
8.20	70	-1.080224
8.20	80	-0.923961
8.20	90	-0.787573
8.20	100	-0.673238
8.20	110	-0.585122
8.20	120	-0.531264
8.20	130	-0.521081
8.20	140	-0.559709
8.20	150	-0.646334
8.20	160	-0.767796
8.20	170	-0.884323
8.20	180	-0.933987
8.40	0	-1.912241
8.40	10	-1.88318
8.40	20	-1.799667
8.40	30	-1.672425
8.40	40	-1.516712
8.40	50	-1.34744
8.40	60	-1.178066
