R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4.0,-12470.33099836782,-31925.361649198265,-57064.344591035006,-66159.2155608628,-84296.08120091565,-85264.91060583857,-90579.31511589313,-91039.2520202111,-84450.27506732613,-91486.72961830268,-80278.54079445376,-96221.05907121718,-90509.35873572816,-114138.95336081892,-126537.9912040222,-160201.9238579733,-247481.40369332713,-346456.697243232,-178169.94241593496
4.1,-6834.181776761929,-18930.511310537368,-31432.600714609274,-39396.560368797254,-47156.04978739017,-51135.78025286505,-51683.52661270147,-55055.413180037365,-49253.421134068914,-55694.35955371335,-47796.96223835018,-58705.454230189964,-54570.528073677575,-69515.80702465058,-76555.7017630731,-97325.9164049964,-149699.1265927257,-210222.92420058744,-107754.07688066982
4.2,-3620.527934964688,-11115.135414689952,-16751.58909632251,-23240.45850975862,-25664.7998063255,-30404.99274425971,-28861.56268776135,-33037.563579875314,-28260.7332391787,-33663.4932340312,-28115.17012298544,-35567.10625597273,-32589.75024010141,-42033.37737017172,-45924.77803490696,-58681.320327025634,-89810.97654323804,-126572.51019932982,-64636.871577129146
4.3,-1827.4220719198233,-6453.277265539549,-8514.222677159727,-13563.575615046875,-13451.323773600603,-17904.02146088486,-15671.968433010617,-19654.81787736873,-15891.346492038967,-20187.203936663165,-16302.19884494647,-21382.94267656241,-19250.84934973525,-25213.59054796125,-27287.465624583972,-35085.004622916436,-53389.04117669972,-75552.63025164347,-38420.20377103662
4.4,-854.9411134791134,-3697.988325331031,-4014.44081638784,-7818.038982472548,-6667.320460637451,-10426.37142103016,-8189.673617009453,-11580.205293706684,-8708.041769709376,-11999.961458363568,-9289.930457079005,-12745.980540894569,-11227.823903954499,-14990.644979422275,-16038.444826493536,-20781.286159103925,-31411.38033938547,-44665.05683736233,-22603.732191743424
4.5,-347.8491408129756,-2086.4602017963475,-1644.8704841120323,-4440.215990961261,-3011.24962202018,-5993.679597603899,-4043.9500994434493,-6747.868181637063,-4609.649137097649,-7063.409807306218,-5181.137775960877,-7525.630677998213,-6451.014490377495,-8824.719064908772,-9310.033252303932,-12180.227405316991,-18265.485522769268,-26119.752962379873,-13144.72205149757
4.6,-98.55070895147335,-1155.1693523827598,-462.7615507489672,-2476.6632623130745,-1122.5236859303798,-3392.65073974735,-1817.4236970600145,-3882.1103540085396,-2322.674560230889,-4111.738718995121,-2810.8123570440225,-4396.190153419002,-3640.2733623212766,-5137.401099711188,-5326.731124151998,-7054.6667098661455,-10479.64409513683,-15087.668016027217,-7543.1613914609015
4.7,12.352390655953457,-624.5279547841575,76.46370833207592,-1350.114713149521,-207.8437737791143,-1884.0991907865764,-672.7857310235332,-2199.943748899314,-1082.8710931725434,-2363.3174357403286,-1469.2392214605923,-2537.3166790304485,-2009.1184230398082,-2953.3133087317024,-2996.215426428234,-4031.031438858131,-5919.862145553933,-8593.254730067643,-4262.768728478761
4.8,52.184704207752574,-327.271057189276,281.5197494757326,-713.7931694294281,187.6271684089922,-1020.9612406918936,-122.42559978113229,-1223.997660124932,-436.88947169232426,-1338.4895198448387,-727.9973404599293,-1444.4640759982722,-1078.0306535336988,-1673.4889589051904,-1651.2239599109687,-2267.714402625583,-3283.591750619118,-4815.2737661316405,-2366.0866322200823
4.9,57.9514335558795,-164.24319245119648,323.264424951063,-361.1924723551536,319.2528764683683,-535.0312280070405,112.70051142454594,-665.3773305297718,-119.49498832129896,-744.9284721765342,-331.20096157402014,-809.3983064466045,-557.1747907306257,-932.6609210870134,-887.3952848383518,-1252.7955793299977,-1782.0122544697738,-2647.2907677484277,-1285.5447386873145
