R	Gamma	E
3.10	10	12447.419337
3.10	20	8350.269443
3.10	30	4683.363912
3.10	40	2339.440692
3.10	50	1088.901461
3.10	60	479.420851
3.10	70	194.115342
3.10	80	69.01652
3.10	90	35.799403
3.10	100	77.72648
3.10	110	208.493886
3.10	120	470.774333
3.10	130	963.555138
3.10	140	1981.960129
3.10	150	4465.897167
3.10	160	10602.295278
3.10	170	22066.912978
3.10	180	30759.747552
3.20	0	10622.729791
3.20	10	9233.603858
3.20	20	6266.140182
3.20	30	3544.134816
3.20	40	1774.73184
3.20	50	819.181879
3.20	60	349.30959
3.20	70	127.773379
3.20	80	29.857751
3.20	90	3.490372
3.20	100	36.095178
3.20	110	138.402114
3.20	120	342.214825
3.20	130	718.31781
3.20	140	1476.443426
3.20	150	3294.861403
3.20	160	7740.041117
3.20	170	15781.386174
3.20	180	21390.250273
3.30	0	7808.576047
3.30	10	6823.565159
3.30	20	4678.28099
3.30	30	2667.62963
3.30	40	1338.548286
3.30	50	611.631781
3.30	60	250.779199
3.30	70	79.254297
3.30	80	2.76964
3.30	90	-18.068598
3.30	100	7.357761
3.30	110	87.504537
3.30	120	245.950244
3.30	130	532.595899
3.30	140	1094.109188
3.30	150	2413.030093
3.30	160	5597.665359
3.30	170	11209.923175
3.30	180	14915.799766
3.40	0	5728.185596
3.40	10	5027.224907
3.40	20	3477.637208
3.40	30	1997.601057
3.40	40	1003.247881
3.40	50	452.503293
3.40	60	176.42821
3.40	70	44.005041
3.40	80	-15.594577
3.40	90	-31.971936
3.40	100	-12.079474
3.40	110	50.795694
3.40	120	174.072515
3.40	130	392.330456
3.40	140	806.362004
3.40	150	1754.455623
3.40	160	4011.953728
3.40	170	7904.806912
3.40	180	10381.244571
3.50	0	4193.54099
3.50	10	3693.390316
3.50	20	2574.577873
3.50	30	1487.952688
3.50	40	746.590283
3.50	50	330.948681
3.50	60	120.530994
3.50	70	18.61669
3.50	80	-27.674482
3.50	90	-40.45483
3.50	100	-24.837424
3.50	110	24.549947
3.50	120	120.571742
3.50	130	286.687122
3.50	140	590.77082
3.50	150	1266.285298
3.50	160	2849.919972
3.50	170	5531.023744
3.50	180	7192.036604
3.60	0	3063.139938
3.60	10	2705.574872
3.60	20	1897.955257
3.60	30	1101.868321
3.60	40	550.939289
3.60	50	238.455294
3.60	60	78.695748
3.60	70	0.547995
3.60	80	-35.247721
3.60	90	-45.133326
3.60	100	-32.825327
3.60	110	6.00474
3.60	120	80.894679
3.60	130	207.351055
3.60	140	429.921618
3.60	150	906.925962
3.60	160	2006.132317
3.60	170	3838.023773
3.60	180	4950.925534
3.70	0	2231.355512
3.70	10	1975.355578
3.70	20	1392.460592
3.70	30	810.396858
3.70	40	402.321394
3.70	50	168.356385
3.70	60	47.559322
3.70	70	-12.091847
3.70	80	-39.611033
3.70	90	-47.177245
3.70	100	-37.43439
3.70	110	-6.882672
3.70	120	51.60083
3.70	130	147.947234
3.70	140	310.385083
3.70	150	644.11761
3.70	160	1398.584996
3.70	170	2639.09461
3.70	180	3381.593136
3.80	0	1619.776517
3.80	10	1436.274911
3.80	20	1015.716967
3.80	30	591.081738
3.80	40	289.889981
3.80	50	115.475415
3.80	60	24.558249
3.80	70	-20.710125
3.80	80	-41.712932
3.80	90	-47.434201
3.80	100	-39.680443
3.80	110	-15.621773
3.80	120	30.100562
3.80	130	103.605919
3.80	140	221.876207
3.80	150	453.118667
3.80	160	964.633762
3.80	170	1796.142811
3.80	180	2288.187707
3.90	0	1170.4062
