R	Gamma	E
11.50	45	0.018507
11.50	50	0.018465
11.50	55	0.018396
11.50	60	0.018277
11.50	65	0.018132
11.50	70	0.017987
11.50	75	0.017845
11.50	80	0.017725
11.50	85	0.017641
11.50	90	0.017618
12.00	0	0.015781
12.00	5	0.015783
12.00	10	0.015834
12.00	15	0.015893
12.00	20	0.01597
12.00	25	0.016046
12.00	30	0.016115
12.00	35	0.016185
12.00	40	0.016223
12.00	45	0.016213
12.00	50	0.016193
12.00	55	0.016148
12.00	60	0.016059
12.00	65	0.015959
12.00	70	0.015842
12.00	75	0.015742
12.00	80	0.015646
12.00	85	0.015584
12.00	90	0.01556
12.50	0	0.013897
12.50	5	0.013917
12.50	10	0.013945
12.50	15	0.013995
12.50	20	0.014057
12.50	25	0.014124
12.50	30	0.014201
12.50	35	0.014251
12.50	40	0.014268
12.50	45	0.014285
12.50	50	0.014266
12.50	55	0.014246
12.50	60	0.014175
12.50	65	0.01411
12.50	70	0.014014
12.50	75	0.013937
12.50	80	0.013869
12.50	85	0.013836
12.50	90	0.013822
13.00	0	0.012306
13.00	5	0.01232
13.00	10	0.012332
13.00	15	0.01239
13.00	20	0.012447
13.00	25	0.012497
13.00	30	0.012554
13.00	35	0.012601
13.00	40	0.012638
13.00	45	0.012658
13.00	50	0.012654
13.00	55	0.012624
13.00	60	0.012587
13.00	65	0.012526
13.00	70	0.012466
13.00	75	0.012419
13.00	80	0.012342
13.00	85	0.012306
13.00	90	0.012303
13.50	0	0.010931
13.50	5	0.010937
13.50	10	0.010972
13.50	15	0.011002
13.50	20	0.011057
13.50	25	0.011111
13.50	30	0.011151
13.50	35	0.011207
13.50	40	0.011236
13.50	45	0.011257
13.50	50	0.011246
13.50	55	0.011243
13.50	60	0.011214
13.50	65	0.011176
13.50	70	0.011119
13.50	75	0.011086
13.50	80	0.011045
13.50	85	0.011021
13.50	90	0.011006
14.00	0	0.009751
14.00	5	0.009761
14.00	10	0.009784
14.00	15	0.009824
14.00	20	0.009851
14.00	25	0.009901
14.00	30	0.009956
14.00	35	0.009993
14.00	40	0.010021
14.00	45	0.010032
14.00	50	0.010041
14.00	55	0.010043
14.00	60	0.010016
14.00	65	0.009991
14.00	70	0.009963
14.00	75	0.009934
14.00	80	0.009898
14.00	85	0.009887
14.00	90	0.009864
14.50	0	0.008725
14.50	5	0.00873
14.50	10	0.008751
14.50	15	0.00878
14.50	20	0.00881
14.50	25	0.008862
14.50	30	0.008903
14.50	35	0.008933
14.50	40	0.008972
14.50	45	0.008987
14.50	50	0.008999
14.50	55	0.009
14.50	60	0.008996
14.50	65	0.008959
14.50	70	0.008932
14.50	75	0.008914
14.50	80	0.008895
14.50	85	0.008881
14.50	90	0.008878
15.00	0	0.007834
15.00	5	0.00784
15.00	10	0.007854
15.00	15	0.007875
15.00	20	0.007918
15.00	25	0.007963
15.00	30	0.00799
15.00	35	0.008013
15.00	40	0.008048
15.00	45	0.008077
15.00	50	0.00809
15.00	55	0.008078
15.00	60	0.008081
15.00	65	0.008084
15.00	70	0.008063
15.00	75	0.008045
15.00	80	0.008027
15.00	85	0.008018
15.00	90	0.008023
16.00	0	0.006348
16.00	5	0.006358
16.00	10	0.006365
16.00	15	0.00639
16.00	20	0.006416
16.00	25	0.006453
16.00	30	0.006486
16.00	35	0.006518
16.00	40	0.006546
16.00	45	0.006566
16.00	50	0.006583
16.00	55	0.006598
16.00	60	0.006592
16.00	65	0.006592
16.00	70	0.006577
16.00	75	0.006586
16.00	80	0.006573
16.00	85	0.006563
16.00	90	0.006547
17.00	0	0.005201
17.00	5	0.0052
17.00	10	0.005208
17.00	15	0.005224
17.00	20	0.00526
17.00	25	0.005271
17.00	30	0.005314
17.00	35	0.005328
17.00	40	0.005361
17.00	45	0.005375
17.00	50	0.005396
17.00	55	0.005413
17.00	60	0.005407
17.00	65	0.005421
17.00	70	0.00542
17.00	75	0.005412
17.00	80	0.005409
17.00	85	0.005406
17.00	90	0.005411
18.00	0	0.004278
18.00	5	0.004286
18.00	10	0.004296
18.00	15	0.004309
18.00	20	0.004327
18.00	25	0.004352
18.00	30	0.004367
18.00	35	0.004393
18.00	40	0.004417
18.00	45	0.004437
18.00	50	0.004464
18.00	55	0.004465
18.00	60	0.004478
18.00	65	0.004483
18.00	70	0.004475
18.00	75	0.004488
18.00	80	0.004486
18.00	85	0.004489
18.00	90	0.004475
19.00	0	0.003533
19.00	5	0.003544
19.00	10	0.003557
19.00	15	0.003557
19.00	20	0.003578
19.00	25	0.003591
19.00	30	0.003627
19.00	35	0.003629
19.00	40	0.003662
19.00	45	0.00368
19.00	50	0.003701
