	0	1	2
1365	4.0000000000	90.0000000000	-13.6848186420
319	4.4000000000	20.0000000000	-13.6739798887
537	3.7000000000	35.0000000000	-13.6663208828
767	4.2000000000	50.0000000000	-13.6544964659
991	4.1000000000	65.0000000000	-13.5520713891
1361	3.6000000000	90.0000000000	-13.4785480471
462	3.7000000000	30.0000000000	-13.4623690349
1286	3.6000000000	85.0000000000	-13.4434303506
618	4.3000000000	40.0000000000	-13.3491335123
1211	3.6000000000	80.0000000000	-13.3158679626
394	4.4000000000	25.0000000000	-13.3074763500
387	3.7000000000	25.0000000000	-13.2888047670
1066	4.1000000000	70.0000000000	-13.2302741738
842	4.2000000000	55.0000000000	-13.1950375216
1136	3.6000000000	75.0000000000	-13.0968990009
237	3.7000000000	15.0000000000	-13.0128911372
1141	4.1000000000	75.0000000000	-12.9710987759
469	4.4000000000	30.0000000000	-12.8981168818
693	4.3000000000	45.0000000000	-12.8668151896
20	4.5000000000	0.0000000000	-12.8392561976
95	4.5000000000	5.0000000000	-12.7967742488
1216	4.1000000000	80.0000000000	-12.7843326722
1061	3.6000000000	70.0000000000	-12.7787874252
917	4.2000000000	60.0000000000	-12.7757062233
170	4.5000000000	10.0000000000	-12.6715012027
1291	4.1000000000	85.0000000000	-12.6674369728
1366	4.1000000000	90.0000000000	-12.6263300320
245	4.5000000000	15.0000000000	-12.4698196027
544	4.4000000000	35.0000000000	-12.4635147547
768	4.3000000000	50.0000000000	-12.4043285922
992	4.2000000000	65.0000000000	-12.4039328790
320	4.5000000000	20.0000000000	-12.2017499964
986	3.6000000000	65.0000000000	-12.1838314273
1067	4.2000000000	70.0000000000	-12.0872037717
619	4.4000000000	40.0000000000	-12.0199413819
843	4.3000000000	55.0000000000	-11.9711150809
395	4.5000000000	25.0000000000	-11.8802139566
87	3.7000000000	5.0000000000	-11.8401449120
1142	4.2000000000	75.0000000000	-11.8362988381
12	3.7000000000	0.0000000000	-11.8265370456
1217	4.2000000000	80.0000000000	-11.6496604668
694	4.4000000000	45.0000000000	-11.5812824885
911	3.6000000000	60.0000000000	-11.5782697594
918	4.3000000000	60.0000000000	-11.5752554959
1292	4.2000000000	85.0000000000	-11.5347744978
470	4.5000000000	30.0000000000	-11.5197931611
312	3.7000000000	20.0000000000	-11.5003512168
1367	4.2000000000	90.0000000000	-11.4951213584
21	4.6000000000	0.0000000000	-11.3758191174
96	4.6000000000	5.0000000000	-11.3391723413
171	4.6000000000	10.0000000000	-11.2310657238
993	4.3000000000	65.0000000000	-11.2243546269
162	3.7000000000	10.0000000000	-11.1951300431
769	4.4000000000	50.0000000000	-11.1588640562
545	4.5000000000	35.0000000000	-11.1354397506
246	4.6000000000	15.0000000000	-11.0568155955
1068	4.3000000000	70.0000000000	-10.9294614923
836	3.6000000000	55.0000000000	-10.8499552686
321	4.6000000000	20.0000000000	-10.8247872361
844	4.4000000000	55.0000000000	-10.7620319788
620	4.5000000000	40.0000000000	-10.7412701160
1143	4.3000000000	75.0000000000	-10.6894773958
396	4.6000000000	25.0000000000	-10.5457338061
1218	4.3000000000	80.0000000000	-10.5134385532
761	3.6000000000	50.0000000000	-10.4503095274
1293	4.3000000000	85.0000000000	-10.4052094681
919	4.4000000000	60.0000000000	-10.3988725763
1360	3.5000000000	90.0000000000	-10.3845408830
1368	4.3000000000	90.0000000000	-10.3684211303
695	4.5000000000	45.0000000000	-10.3496509987
1285	3.5000000000	85.0000000000	-10.2945319231
471	4.6000000000	30.0000000000	-10.2318743317
