R,theta,E_cm
18.0,15.0,-0.0633873474077656
19.0,15.0,-0.05831879961026644
20.0,15.0,-0.05390911474552837
21.0,15.0,-0.05012493282297726
22.0,15.0,-0.046832595555770955
23.0,15.0,-0.04385278675672936
24.0,15.0,-0.04106809460412819
25.0,15.0,-0.038721910420371444
50.0,15.0,-0.012167236285405494
100.0,15.0,0.0
2.5,20.0,1927.0563887644287
2.6,20.0,1497.7843975049889
2.7,20.0,1082.2338218482532
2.8,20.0,750.6277066806266
2.9,20.0,503.41777819976915
3.0,20.0,325.32494834596946
3.1,20.0,199.48533523270788
3.2,20.0,114.14983027145558
3.3,20.0,58.13122842230736
3.4,20.0,22.365840685447804
3.5,20.0,0.11477579611158206
3.6,20.0,-12.840308356597555
3.7,20.0,-19.641510659949866
3.8,20.0,-22.550632174648534
3.9,20.0,-24.07662062193189
4.0,20.0,-23.16884304582182
4.1,20.0,-21.51672384573246
4.2,20.0,-19.433449148857367
4.3,20.0,-17.345998290170474
4.4,20.0,-14.725245368323781
4.5,20.0,-12.944080352332849
4.6,20.0,-11.346560515634676
4.7,20.0,-9.93752395199315
4.8,20.0,-8.707639922571225
4.9,20.0,-7.641760942516439
5.0,20.0,-6.724401763309615
5.1,20.0,-5.930727069634393
5.2,20.0,-5.243478917466486
5.3,20.0,-4.6531604198706935
5.4,20.0,-4.1426832803514575
5.5,20.0,-3.7000942549862446
5.6,20.0,-3.315930032036052
5.7,20.0,-2.980166988529017
5.8,20.0,-2.6865430743496677
5.9,20.0,-2.428588834183092
6.0,20.0,-2.2015394782910653
6.2,20.0,-1.8240428932026294
6.4,20.0,-1.5272229914969875
6.6,20.0,-1.2918889052606977
6.8,20.0,-1.1040115982183256
7.0,20.0,-0.9524193721801396
7.2,20.0,-0.8292102665142185
7.4,20.0,-0.7280039303905718
7.6,20.0,-0.6438575771878344
7.8,20.0,-0.5733700067824988
8.0,20.0,-0.5138344408144593
8.2,20.0,-0.4630526224553201
8.4,20.0,-0.41937980374048567
8.6,20.0,-0.3816110733350114
8.8,20.0,-0.3488770909684487
9.0,20.0,-0.32038730657994946
9.5,20.0,-0.2636533342032659
10.0,20.0,-0.22227797899036716
10.5,20.0,-0.19130418213244724
11.0,20.0,-0.16766654537072867
11.5,20.0,-0.14917668638412282
12.0,20.0,-0.13443018574895504
12.5,20.0,-0.12237795347742761
13.0,20.0,-0.11244826308186731
13.5,20.0,-0.10408474564692582
14.0,20.0,-0.09686578528574728
14.5,20.0,-0.09067506491825768
15.0,20.0,-0.08533414789330365
16.0,20.0,-0.07635192988523301
