      R       THETA       E_CP
    4.1000   85.0000   -78.703971040138
    4.1000   90.0000   -78.703970903910
    4.2000   0.0000   -78.703999073116
    4.2000   5.0000   -78.703998664273
    4.2000   10.0000   -78.703997578843
    4.2000   15.0000   -78.703995945024
    4.2000   20.0000   -78.703993861098
    4.2000   25.0000   -78.703991422115
    4.2000   30.0000   -78.703988646218
    4.2000   35.0000   -78.703985670889
    4.2000   40.0000   -78.703979743822
    4.2000   45.0000   -78.703976876885
    4.2000   50.0000   -78.703974133257
    4.2000   55.0000   -78.703971606731
    4.2000   60.0000   -78.703969378519
    4.2000   65.0000   -78.703967508132
    4.2000   70.0000   -78.703966037689
    4.2000   75.0000   -78.703964929694
    4.2000   80.0000   -78.703964156922
    4.2000   85.0000   -78.703963717946
    4.2000   90.0000   -78.703963585521
    4.3000   0.0000   -78.703989283581
    4.3000   5.0000   -78.703988898439
    4.3000   10.0000   -78.703987868418
    4.3000   15.0000   -78.703986313731
    4.3000   20.0000   -78.703984349972
    4.3000   25.0000   -78.703982059867
    4.3000   30.0000   -78.703976637352
    4.3000   35.0000   -78.703974083516
    4.3000   40.0000   -78.703971469548
    4.3000   45.0000   -78.703968881624
    4.3000   50.0000   -78.703966405533
    4.3000   55.0000   -78.703964123858
    4.3000   60.0000   -78.703962108592
    4.3000   65.0000   -78.703960426510
    4.3000   70.0000   -78.703959071677
    4.3000   75.0000   -78.703958055232
    4.3000   80.0000   -78.703957342113
    4.3000   85.0000   -78.703956936634
    4.3000   90.0000   -78.703956812173
    4.4000   0.0000   -78.703979740452
    4.4000   5.0000   -78.703979393397
    4.4000   10.0000   -78.703978460851
    4.4000   15.0000   -78.703977044374
    4.4000   20.0000   -78.703972408943
    4.4000   25.0000   -78.703970440133
    4.4000   30.0000   -78.703968284670
    4.4000   35.0000   -78.703966015507
    4.4000   40.0000   -78.703963702409
    4.4000   45.0000   -78.703961415396
    4.4000   50.0000   -78.703959227141
    4.4000   55.0000   -78.703957208860
    4.4000   60.0000   -78.703955437315
    4.4000   65.0000   -78.703953928521
    4.4000   70.0000   -78.703952718609
    4.4000   75.0000   -78.703951793164
    4.4000   80.0000   -78.703951163315
    4.4000   85.0000   -78.703950798157
    4.4000   90.0000   -78.703950683005
    4.5000   0.0000   -78.703968101885
    4.5000   5.0000   -78.703967808114
    4.5000   10.0000   -78.703967017844
    4.5000   15.0000   -78.703965812325
    4.5000   20.0000   -78.703964293358
