R,theta,E3_cm
3.9,15.0,-20.83110529604353
4.0,15.0,-20.60568290402239
4.1,15.0,-19.571211182378445
4.2,15.0,-18.250764016794967
4.3,15.0,-16.592457608244384
4.4,15.0,-14.908801879780711
4.5,15.0,-13.288376791603788
4.6,15.0,-11.777776806449607
4.7,15.0,-10.398773812534506
4.8,15.0,-9.158369044507056
4.9,15.0,-8.054653079555985
5.0,15.0,-7.0780129226337944
5.1,15.0,-6.223444556440834
5.2,15.0,-5.478020922251186
5.3,15.0,-4.830482973343331
5.4,15.0,-4.271634723908717
5.5,15.0,-3.786442158599095
5.6,15.0,-3.3646119207043084
5.7,15.0,-3.00019624453018
5.8,15.0,-2.682462822510771
5.9,15.0,-2.403861726749398
6.0,15.0,-2.158181826652476
6.2,15.0,-1.7467985804506163
6.4,15.0,-1.4201983842050283
6.6,15.0,-1.1606915820537937
6.8,15.0,-0.9547146399609305
7.0,15.0,-0.7906573548867845
7.2,15.0,-0.6590164710572657
7.4,15.0,-0.5525273826865461
7.6,15.0,-0.4658568515358341
7.8,15.0,-0.395010439788359
8.0,15.0,-0.33678381992018475
8.2,15.0,-0.2885652440080797
8.4,15.0,-0.24824775542971353
8.6,15.0,-0.21422918574473515
8.8,15.0,-0.1852585353066148
9.0,15.0,-0.16047985025847397
9.5,15.0,-0.11291969751111665
10.0,15.0,-0.08067887598501684
10.5,15.0,-0.058775306878438016
11.0,15.0,-0.04369739893975165
11.5,15.0,-0.033074827528297136
12.0,15.0,-0.025393215622448225
12.5,15.0,-0.019730768920204866
13.0,15.0,-0.01551685567554415
13.5,15.0,-0.012312528151608292
14.0,15.0,-0.009854412092222873
14.5,15.0,-0.007966930897782448
15.0,15.0,-0.006474501730837403
16.0,15.0,-0.004367545108507045
17.0,15.0,-0.00302875092433041
18.0,15.0,-0.0021289044770115596
19.0,15.0,-0.001536321757385366
20.0,15.0,-0.001119321875208783
21.0,15.0,-0.0008340028832752467
22.0,15.0,-0.0006364784289885961
23.0,15.0,-0.00048284344622018694
24.0,15.0,-0.00037310729173626103
