R	Gamma	E
4.30	65	-78.269883717113
4.30	70	-78.26988237671
4.30	75	-78.26988128322
4.30	80	-78.269880466722
4.30	85	-78.269879953526
4.30	90	-78.269879788615
4.40	0	-78.269901437095
4.40	5	-78.269901148519
4.40	10	-78.269900308846
4.40	15	-78.269898990064
4.40	20	-78.26989729186
4.40	25	-78.269895321848
4.40	30	-78.269893179182
4.40	35	-78.269890947184
4.40	40	-78.269888694664
4.40	45	-78.269886480889
4.40	50	-78.269884360717
4.40	55	-78.26988238338
4.40	60	-78.269880589988
4.40	65	-78.269879011211
4.40	70	-78.269877670258
4.40	75	-78.269876589034
4.40	80	-78.269875790586
4.40	85	-78.269875297027
4.40	90	-78.269875134986
4.50	0	-78.269896085989
4.50	5	-78.269895815599
4.50	10	-78.269895027195
4.50	15	-78.269893783191
4.50	20	-78.269892171577
4.50	25	-78.269890288693
4.50	30	-78.269888226196
4.50	35	-78.269886064522
4.50	40	-78.269883873048
4.50	45	-78.269881714066
4.50	50	-78.269879645525
4.50	55	-78.269877719333
4.50	60	-78.269875978319
4.50	65	-78.269874453911
4.50	70	-78.269873168373
4.50	75	-78.269872139958
4.50	80	-78.269871379194
4.50	85	-78.26987092604
4.50	90	-78.269870773129
4.60	0	-78.269890630496
4.60	5	-78.269890379251
4.60	10	-78.269889645191
4.60	15	-78.269888482752
4.60	20	-78.26988696975
4.60	25	-78.269885193532
4.60	30	-78.269883240038
4.60	35	-78.269881187321
4.60	40	-78.269879104507
4.60	45	-78.269877053864
4.60	50	-78.269875092291
4.60	55	-78.269873270278
4.60	60	-78.269871628637
4.60	65	-78.269870196608
4.60	70	-78.269868994832
4.60	75	-78.269868038557
4.60	80	-78.269867339435
4.60	85	-78.269866919839
4.60	90	-78.269866778705
4.70	0	-78.269885350048
4.70	5	-78.269885117333
4.70	10	-78.269884436392
4.70	15	-78.269883355289
4.70	20	-78.269881944048
4.70	25	-78.269880283158
4.70	30	-78.269878454013
4.70	35	-78.269876531915
4.70	40	-78.269874584107
4.70	45	-78.269872670258
4.70	50	-78.2698708439
4.70	55	-78.269869151466
4.70	60	-78.269867629772
4.70	65	-78.269866305526
4.70	70	-78.269865197495
4.70	75	-78.269864313935
4.70	80	-78.269863681799
4.70	85	-78.269863297595
4.70	90	-78.269863168673
4.80	0	-78.269880390986
4.80	5	-78.2698801759
4.80	10	-78.269879545745
4.80	15	-78.269878544036
4.80	20	-78.269877234635
4.80	25	-78.26987569273
4.80	30	-78.269873995185
4.80	35	-78.26987221381
4.80	40	-78.269870412234
4.80	45	-78.269868646182
4.80	50	-78.269866964117
4.80	55	-78.269865407658
4.80	60	-78.269864009593
4.80	65	-78.269862794411
4.80	70	-78.269861772319
4.80	75	-78.26986097484
4.80	80	-78.269860396672
4.80	85	-78.269860046229
4.80	90	-78.269859928814
4.90	0	-78.269875817764
4.90	5	-78.269875619435
4.90	10	-78.269875038151
4.90	15	-78.269874113642
4.90	20	-78.269872905134
4.90	25	-78.269871482671
4.90	30	-78.269869918468
4.90	35	-78.26986827967
4.90	40	-78.269866625321
4.90	45	-78.269865006264
4.90	50	-78.269863465763
4.90	55	-78.269862040763
4.90	60	-78.269860760823
4.90	65	-78.269859640624
4.90	70	-78.269858717253
4.90	75	-78.269857986762
4.90	80	-78.269857458321
4.90	85	-78.269857138536
4.90	90	-78.26985703144
5.00	0	-78.269871645514
5.00	5	-78.269871463294
5.00	10	-78.269870929211
5.00	15	-78.269870079922
5.00	20	-78.269868970176
5.00	25	-78.269867665111
5.00	30	-78.269866231674
5.00	35	-78.269864731866
5.00	40	-78.269863219368
5.00	45	-78.269861739889
5.00	50	-78.269860332241
5.00	55	-78.269859029258
5.00	60	-78.269857849562
5.00	65	-78.269856836398
5.00	70	-78.269855989271
5.00	75	-78.26985531972
5.00	80	-78.269854835806
5.00	85	-78.269854543189
5.00	90	-78.269854445311
5.10	0	-78.269867861864
5.10	5	-78.269867695083
5.10	10	-78.269867206496
5.10	15	-78.269866429783
5.10	20	-78.26986541557
5.10	25	-78.269864223841
5.10	30	-78.269862915861
5.10	35	-78.269861548013
5.10	40	-78.269860168729
5.10	45	-78.269858818904
5.10	50	-78.269857533329
5.10	55	-78.269856333093
5.10	60	-78.269855265634
5.10	65	-78.269854335226
5.10	70	-78.269853557282
5.10	75	-78.269852942532
5.10	80	-78.269852498444
