R	Gamma	E
4.40	160	-96.181365178012
4.40	170	-96.181376519534
4.40	180	-96.181381685447
4.50	0	-96.181321618599
4.50	10	-96.181319850311
4.50	20	-96.181315915622
4.50	30	-96.181311538293
4.50	40	-96.181307185425
4.50	50	-96.181302907579
4.50	60	-96.181298936932
4.50	70	-96.181295621076
4.50	80	-96.181293286063
4.50	90	-96.181292399194
4.50	100	-96.181293596055
4.50	110	-96.181297226126
4.50	120	-96.181303206325
4.50	130	-96.181311988345
4.50	140	-96.181324429707
4.50	150	-96.181339622666
4.50	160	-96.181354299966
4.50	170	-96.181365594018
4.50	180	-96.181370682072
4.60	0	-96.181315518656
4.60	10	-96.181313766516
4.60	20	-96.181309839378
4.60	30	-96.181305516017
4.60	40	-96.181301341014
4.60	50	-96.181297319722
4.60	60	-96.181293624244
4.60	70	-96.181290612307
4.60	80	-96.181288580847
4.60	90	-96.181287840562
4.60	100	-96.181288864538
4.60	110	-96.181292006499
4.60	120	-96.181297267018
4.60	130	-96.181305006175
4.60	140	-96.181316029677
4.60	150	-96.181329759411
4.60	160	-96.181343388843
4.60	170	-96.181354083224
4.60	180	-96.181358816233
4.70	0	-96.18130936371
4.70	10	-96.181307712852
4.70	20	-96.181303976108
4.70	30	-96.181299868183
4.70	40	-96.181295966738
4.70	50	-96.181292254538
4.70	60	-96.181288864214
4.70	70	-96.181286153814
4.70	80	-96.181284399091
4.70	90	-96.181283797769
4.70	100	-96.181284684609
4.70	110	-96.181287393563
4.70	120	-96.181292002183
4.70	130	-96.181298802542
4.70	140	-96.181308489943
4.70	150	-96.181320674583
4.70	160	-96.18133300005
4.70	170	-96.181342796185
4.70	180	-96.181347050849
4.80	0	-96.1813033486
4.80	10	-96.181301853647
4.80	20	-96.18129843264
4.80	30	-96.181294654663
4.80	40	-96.181291090002
4.80	50	-96.181287715968
4.80	60	-96.181284644011
4.80	70	-96.181282224057
4.80	80	-96.181280713206
4.80	90	-96.181280233628
4.80	100	-96.181281011268
4.80	110	-96.181283344771
4.80	120	-96.181287374164
4.80	130	-96.181293347595
4.80	140	-96.181301827437
4.80	150	-96.181312514576
4.80	160	-96.181323437206
4.80	170	-96.181332183175
4.80	180	-96.181335915332
4.90	0	-96.181297634295
4.90	10	-96.181296323303
4.90	20	-96.181293290381
4.90	30	-96.181289912403
4.90	40	-96.181286719694
4.90	50	-96.181283693129
4.90	60	-96.181280937237
4.90	70	-96.181278788609
4.90	80	-96.181277486576
4.90	90	-96.181277107135
4.90	100	-96.181277795581
4.90	110	-96.181279808478
4.90	120	-96.181283329053
4.90	130	-96.181288583083
4.90	140	-96.181295997638
4.90	150	-96.181305304585
4.90	160	-96.181314840567
4.90	170	-96.181322487174
4.90	180	-96.181325695662
5.00	0	-96.181292344212
5.00	10	-96.181291225038
5.00	20	-96.181288608487
5.00	30	-96.181285660716
5.00	40	-96.181282849256
5.00	50	-96.181280161844
5.00	60	-96.181277706114
5.00	70	-96.181275803093
5.00	80	-96.18127467618
5.00	90	-96.181274374689
5.00	100	-96.181274987965
5.00	110	-96.181276729223
5.00	120	-96.181279805935
5.00	130	-96.181284436251
5.00	140	-96.181290924269
5.00	150	-96.181298997413
5.00	160	-96.181307237095
5.00	170	-96.18131381303
5.00	180	-96.181316524704
5.10	0	-96.181287561462
5.10	10	-96.181286627536
5.10	20	-96.181284421687
5.10	30	-96.181281901214
5.10	40	-96.181279457697
5.10	50	-96.181277086178
5.10	60	-96.181274904156
5.10	70	-96.181273217974
