      R        PHI    THETA2    THETA1       E_CP
    2.6000   60.0000   60.0000   150.0000   -76.975437481244
    2.6000   60.0000   60.0000   180.0000   -76.974327658725
    2.6000   60.0000   90.0000   0.0000   -76.973235086938
    2.6000   60.0000   90.0000   30.0000   -76.976697901282
    2.6000   60.0000   90.0000   60.0000   -76.971460898172
    2.6000   60.0000   90.0000   90.0000   -76.971417849487
    2.6000   60.0000   90.0000   120.0000   -76.971460901342
    2.6000   60.0000   90.0000   150.0000   -76.976697901282
    2.6000   60.0000   90.0000   180.0000   -76.973235086938
    2.6000   90.0000   0.0000   0.0000   -76.972855188055
    2.6000   90.0000   0.0000   30.0000   -76.973755208751
    2.6000   90.0000   0.0000   60.0000   -76.970938038912
    2.6000   90.0000   0.0000   90.0000   -76.971667310292
    2.6000   90.0000   0.0000   120.0000   -76.970938038911
    2.6000   90.0000   0.0000   150.0000   -76.973755208751
    2.6000   90.0000   0.0000   180.0000   -76.972855188055
    2.6000   90.0000   30.0000   0.0000   -76.973615137756
    2.6000   90.0000   30.0000   30.0000   -76.974550899043
    2.6000   90.0000   30.0000   60.0000   -76.971114033050
    2.6000   90.0000   30.0000   90.0000   -76.971642604783
    2.6000   90.0000   30.0000   120.0000   -76.971114033049
    2.6000   90.0000   30.0000   150.0000   -76.974550899044
    2.6000   90.0000   30.0000   180.0000   -76.973615137757
    2.6000   90.0000   60.0000   0.0000   -76.974327658725
    2.6000   90.0000   60.0000   30.0000   -76.975998708487
    2.6000   90.0000   60.0000   60.0000   -76.971444606685
    2.6000   90.0000   60.0000   90.0000   -76.971594944425
    2.6000   90.0000   60.0000   120.0000   -76.971444606684
    2.6000   90.0000   60.0000   150.0000   -76.975998708487
    2.6000   90.0000   60.0000   180.0000   -76.974327658727
    2.6000   90.0000   90.0000   0.0000   -76.973235086938
    2.6000   90.0000   90.0000   30.0000   -76.976685684161
    2.6000   90.0000   90.0000   60.0000   -76.971600101416
    2.6000   90.0000   90.0000   90.0000   -76.971567335860
    2.6000   90.0000   90.0000   120.0000   -76.971600101416
    2.6000   90.0000   90.0000   150.0000   -76.976685684161
    2.6000   90.0000   90.0000   180.0000   -76.973235086938
    2.7000   0.0000   0.0000   0.0000   -76.972559909605
    2.7000   0.0000   0.0000   30.0000   -76.972631228149
    2.7000   0.0000   0.0000   60.0000   -76.972260271953
    2.7000   0.0000   0.0000   90.0000   -76.973081352755
    2.7000   0.0000   0.0000   120.0000   -76.972260271953
    2.7000   0.0000   0.0000   150.0000   -76.972631228149
    2.7000   0.0000   0.0000   180.0000   -76.972559909606
    2.7000   0.0000   30.0000   0.0000   -76.973000130500
    2.7000   0.0000   30.0000   30.0000   -76.973857608160
    2.7000   0.0000   30.0000   60.0000   -76.972915194834
    2.7000   0.0000   30.0000   90.0000   -76.972869284407
    2.7000   0.0000   30.0000   120.0000   -76.971570082664
    2.7000   0.0000   30.0000   150.0000   -76.972407779838
    2.7000   0.0000   30.0000   180.0000   -76.973000130500
    2.7000   0.0000   60.0000   0.0000   -76.973629955976
    2.7000   0.0000   60.0000   30.0000   -76.974922406771
    2.7000   0.0000   60.0000   60.0000   -76.972900983507
    2.7000   0.0000   60.0000   90.0000   -76.972503235844
    2.7000   0.0000   60.0000   120.0000   -76.971624595350
    2.7000   0.0000   60.0000   150.0000   -76.973483813808
    2.7000   0.0000   60.0000   180.0000   -76.973629955982
    2.7000   0.0000   90.0000   0.0000   -76.973779996789
    2.7000   0.0000   90.0000   30.0000   -76.974759274033
    2.7000   0.0000   90.0000   60.0000   -76.972292616629
    2.7000   0.0000   90.0000   90.0000   -76.972351971291
    2.7000   0.0000   90.0000   120.0000   -76.972292616629
    2.7000   0.0000   90.0000   150.0000   -76.974759274032
    2.7000   0.0000   90.0000   180.0000   -76.973779996788
    2.7000   30.0000   0.0000   0.0000   -76.972559909605
    2.7000   30.0000   0.0000   30.0000   -76.972631228590
    2.7000   30.0000   0.0000   60.0000   -76.972260279868
    2.7000   30.0000   0.0000   90.0000   -76.973081348761
    2.7000   30.0000   0.0000   120.0000   -76.972260279868
    2.7000   30.0000   0.0000   150.0000   -76.972631228590
    2.7000   30.0000   0.0000   180.0000   -76.972559909606
    2.7000   30.0000   30.0000   0.0000   -76.973000130500
    2.7000   30.0000   30.0000   30.0000   -76.973771446680
    2.7000   30.0000   30.0000   60.0000   -76.972858907562
    2.7000   30.0000   30.0000   90.0000   -76.972906294209
    2.7000   30.0000   30.0000   120.0000   -76.971695910501
    2.7000   30.0000   30.0000   150.0000   -76.972521081024
    2.7000   30.0000   30.0000   180.0000   -76.973000130500
    2.7000   30.0000   60.0000   0.0000   -76.973629955977
    2.7000   30.0000   60.0000   30.0000   -76.974828595337
    2.7000   30.0000   60.0000   60.0000   -76.972904381707
    2.7000   30.0000   60.0000   90.0000   -76.972600180990
    2.7000   30.0000   60.0000   120.0000   -76.971804587035
    2.7000   30.0000   60.0000   150.0000   -76.973606793077
    2.7000   30.0000   60.0000   180.0000   -76.973629955973
    2.7000   30.0000   90.0000   0.0000   -76.973779996789
    2.7000   30.0000   90.0000   30.0000   -76.974771934771
    2.7000   30.0000   90.0000   60.0000   -76.972405769847
    2.7000   30.0000   90.0000   90.0000   -76.972473188700
