I	J	5.000	6.000	7.000	8.000	9.000	10.000	12.000	14.000	16.000	18.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	55.000	60.000	65.000	70.000	75.000	80.000	85.000	90.000	95.000	100.000
9	2	2.246	1.696	1.363	1.145	1.003	1.119	1.303	1.425	1.500	1.543	1.568	1.601	1.611	1.591	1.549	1.494	1.432	1.366	1.299	1.231	1.165	1.101	1.042	1.010	1.058	1.106	1.168
9	3	2.339	1.717	1.374	1.156	1.009	1.104	1.292	1.431	1.530	1.601	1.655	1.766	1.865	1.940	1.987	2.011	2.016	2.004	1.976	1.936	1.884	1.824	1.760	1.694	1.629	1.564	1.497
9	4	4.636	3.444	2.813	2.418	2.152	1.964	1.725	1.589	1.508	1.458	1.426	1.375	1.343	1.331	1.338	1.359	1.388	1.422	1.460	1.502	1.545	1.589	1.632	1.671	1.704	1.731	1.762
9	5	4.670	3.374	2.708	2.295	2.008	1.797	1.514	1.342	1.233	1.164	1.117	1.049	1.013	1.004	1.009	1.005	1.006	1.020	1.039	1.061	1.086	1.114	1.143	1.171	1.198	1.224	1.254
9	6	5.254	3.735	2.976	2.530	2.228	2.006	1.703	1.517	1.401	1.328	1.282	1.222	1.203	1.213	1.242	1.281	1.326	1.372	1.419	1.467	1.516	1.566	1.616	1.663	1.706	1.746	1.789
9	7	4.522	3.295	2.646	2.271	2.026	1.849	1.602	1.443	1.338	1.270	1.226	1.173	1.160	1.173	1.203	1.243	1.289	1.339	1.394	1.455	1.521	1.592	1.669	1.750	1.835	1.925	2.016
9	8	6.396	4.857	3.964	3.438	3.113	2.900	2.641	2.501	2.429	2.399	2.396	2.441	2.506	2.582	2.674	2.776	2.888	3.006	3.129	3.257	3.386	3.514	3.638	3.758	3.870	3.974	4.062
10	1	1.002	1.342	1.647	1.913	2.146	2.348	2.665	2.875	2.997	3.058	3.089	3.134	3.157	3.129	3.047	2.924	2.774	2.610	2.440	2.272	2.109	1.956	1.815	1.689	1.576	1.472	1.367
10	2	2.327	1.569	1.175	1.053	1.238	1.404	1.681	1.887	2.031	2.129	2.200	2.338	2.463	2.568	2.648	2.705	2.736	2.737	2.710	2.656	2.580	2.490	2.393	2.296	2.203	2.112	2.014
10	3	1.859	1.298	1.018	1.172	1.336	1.476	1.690	1.829	1.914	1.964	1.992	2.029	2.039	2.018	1.968	1.899	1.818	1.730	1.638	1.545	1.454	1.368	1.289	1.221	1.164	1.113	1.057
10	4	2.053	1.469	1.171	1.009	1.149	1.272	1.475	1.626	1.736	1.817	1.880	2.002	2.096	2.163	2.204	2.226	2.231	2.221	2.195	2.155	2.101	2.038	1.968	1.893	1.817	1.742	1.669
10	5	4.679	3.337	2.665	2.264	1.997	1.808	1.566	1.426	1.343	1.292	1.260	1.212	1.188	1.182	1.192	1.212	1.238	1.268	1.300	1.334	1.370	1.407	1.445	1.481	1.515	1.545	1.576
