R	Gamma	E
3.40	60	125.85484
3.40	70	-9.190319
3.40	80	-65.599417
3.40	90	-82.421
3.40	100	-71.540199
3.40	110	-28.375672
3.40	120	66.131858
3.40	130	259.169818
3.40	140	691.371091
3.40	150	1778.792512
3.40	160	4377.646014
3.40	170	8767.573115
3.40	180	11517.892108
3.50	0	4694.156616
3.50	10	4121.118582
3.50	20	2845.475823
3.50	30	1607.018065
3.50	40	761.578395
3.50	50	294.513101
3.50	60	68.507481
3.50	70	-32.732408
3.50	80	-74.917311
3.50	90	-87.388312
3.50	100	-79.140933
3.50	110	-46.837088
3.50	120	23.051898
3.50	130	163.085808
3.50	140	472.304225
3.50	150	1249.829943
3.50	160	3099.265446
3.50	170	6166.536586
3.50	180	8038.539084
3.60	0	3426.641623
3.60	10	3013.54817
3.60	20	2084.441585
3.60	30	1171.643726
3.60	40	543.581714
3.60	50	195.411929
3.60	60	26.84433
3.60	70	-48.530568
3.60	80	-79.75157
3.60	90	-88.801893
3.60	100	-82.474034
3.60	110	-58.312424
3.60	120	-6.726653
3.60	130	94.269026
3.60	140	313.116815
3.60	150	862.726309
3.60	160	2166.679169
3.60	170	4297.492394
3.60	180	5571.960247
3.70	0	2489.070059
3.70	10	2190.899098
3.70	20	1514.900779
3.70	30	844.389965
3.70	40	380.026586
3.70	50	121.878184
3.70	60	-3.076129
3.70	70	-58.703747
3.70	80	-81.483513
3.70	90	-87.854427
3.70	100	-82.925267
3.70	110	-64.874
3.70	120	-26.87916
3.70	130	45.558395
3.70	140	198.686397
3.70	150	582.310389
3.70	160	1492.852861
3.70	170	2963.604563
3.70	180	3830.269217
3.80	0	1797.109532
3.80	10	1581.807142
3.80	20	1090.665971
3.80	30	599.808011
3.80	40	258.082644
3.80	50	67.733779
3.80	60	-24.226372
3.80	70	-64.806668
3.80	80	-81.104018
3.80	90	-85.390244
3.80	100	-81.477537
3.80	110	-68.009222
3.80	120	-40.105843
3.80	130	11.559871
3.80	140	117.395834
3.80	150	381.355297
3.80	160	1010.564414
3.80	170	2018.597798
3.80	180	2605.893772
3.90	0	1287.710152
3.90	10	1132.296064
