R	Gamma	E
2.80	100	-117.38971977521
2.80	110	-117.388469801264
2.80	120	-117.385925940326
2.80	130	-117.380942850188
2.80	140	-117.37011618839
2.80	150	-117.343017793729
2.80	160	-117.274850900225
2.80	170	-117.12567811752
2.80	180	-116.917827622101
2.90	0	-117.241185931049
2.90	10	-117.290236653868
2.90	20	-117.325155153427
2.90	30	-117.35470364363
2.90	40	-117.373054090478
2.90	50	-117.382658059436
2.90	60	-117.387273668076
2.90	70	-117.389410933286
2.90	80	-117.390335916834
2.90	90	-117.390573503285
2.90	100	-117.390255745917
2.90	110	-117.389279691855
2.90	120	-117.387301062075
2.90	130	-117.383469929751
2.90	140	-117.375247563496
2.90	150	-117.354760248033
2.90	160	-117.303395804431
2.90	170	-117.198122552961
2.90	180	-117.087681868013
3.00	0	-117.302367127338
3.00	10	-117.315222450764
3.00	20	-117.34089025046
3.00	30	-117.363233771706
3.00	40	-117.377291124641
3.00	50	-117.384710639184
3.00	60	-117.388298404687
3.00	70	-117.389967721934
3.00	80	-117.390694559834
3.00	90	-117.390884515071
3.00	100	-117.390638322279
3.00	110	-117.389875966562
3.00	120	-117.388338021051
3.00	130	-117.385401628708
3.00	140	-117.379204315292
3.00	150	-117.3638957815
3.00	160	-117.325752900508
3.00	170	-117.251532861173
3.00	180	-117.187508485196
3.10	0	-117.325572620981
3.10	10	-117.334548688247
3.10	20	-117.353216679411
3.10	30	-117.36992433274
3.10	40	-117.380604034265
3.10	50	-117.38630191106
3.10	60	-117.389078909445
3.10	70	-117.390378857181
3.10	80	-117.390948849435
3.10	90	-117.391100197779
3.10	100	-117.39090916393
3.10	110	-117.390313343703
3.10	120	-117.389118305885
3.10	130	-117.386873031012
3.10	140	-117.382232835789
3.10	150	-117.370915184276
3.10	160	-117.342955693245
3.10	170	-117.290719043992
3.10	180	-117.251111569715
3.20	0	-117.342862586738
3.20	10	-117.349191911103
3.20	20	-117.36271267239
3.20	30	-117.375115043173
3.20	40	-117.383177037479
3.20	50	-117.387530844075
3.20	60	-117.389671740055
3.20	70	-117.39068113345
3.20	80	-117.391127269939
3.20	90	-117.391247408574
3.20	100	-117.391098850129
3.20	110	-117.390632705363
3.20	120	-117.389704066187
3.20	130	-117.387990414656
3.20	140	-117.384536139689
3.20	150	-117.376250816573
3.20	160	-117.355997084643
3.20	170	-117.319358015441
3.20	180	-117.293802146567
3.30	0	-117.355684816483
3.30	10	-117.360172856954
3.30	20	-117.36994749224
3.30	30	-117.379108695223
3.30	40	-117.385164436268
3.30	50	-117.388476512038
3.30	60	-117.390120677613
3.30	70	-117.390902202682
3.30	80	-117.391250692471
3.30	90	-117.391345638485
3.30	100	-117.391229787454
3.30	110	-117.390864611818
3.30	120	-117.390142679954
3.30	130	-117.388836626064
3.30	140	-117.386278182905
3.30	150	-117.380268736234
3.30	160	-117.365758468229
3.30	170	-117.340187136439
3.30	180	-117.323301917873
3.40	0	-117.365163774185
3.40	10	-117.368357586543
3.40	20	-117.375418028613
3.40	30	-117.382161570464
3.40	40	-117.386692177543
3.40	50	-117.389201554884
3.40	60	-117.390459445695
3.40	70	-117.391062810135
3.40	80	-117.391334366014
3.40	90	-117.391408986764
3.40	100	-117.391318350025
3.40	110	-117.391031869638
3.40	120	-117.390470179034
3.40	130	-117.389475722538
3.40	140	-117.387589255731
3.40	150	-117.383269422735
3.40	160	-117.372983503069
3.40	170	-117.355246356335
3.40	180	-117.343962874516
3.50	0	-117.372156130504
3.50	10	-117.374434984979
3.50	20	-117.379532670284
3.50	30	-117.384483699626
3.50	40	-117.387861595772
3.50	50	-117.389755398525
3.50	60	-117.390714132186
3.50	70	-117.391178487988
3.50	80	-117.391389406118
3.50	90	-117.391447637679
3.50	100	-117.391376479532
3.50	110	-117.391151454079
3.50	120	-117.390713946527
3.50	130	-117.389957069056
3.50	140	-117.388571561586
3.50	150	-117.385493690716
3.50	160	-117.37827811919
3.50	170	-117.366062109814
3.50	180	-117.358493977281
3.60	0	-117.377306617403
3.60	10	-117.378935803955
3.60	20	-117.382615590202
3.60	30	-117.386242829692
3.60	40	-117.388753047419
3.60	50	-117.390176829464
3.60	60	-117.390904747621
3.60	70	-117.391260815035
3.60	80	-117.391423912339
3.60	90	-117.391468954476
3.60	100	-117.391412875099
3.60	110	-117.391235952271
3.60	120	-117.390894728554
3.60	130	-117.390318550828
3.60	140	-117.389304444579
3.60	150	-117.387131052559
3.60	160	-117.382122699179
3.60	170	-117.373775986367
3.60	180	-117.368705232115
3.70	0	-117.381096506649
3.70	10	-117.382262928338
3.70	20	-117.384918793692
3.70	30	-117.387570871582
3.70	40	-117.389430200471
3.70	50	-117.390496223641
3.70	60	-117.391046615636
3.70	70	-117.391318406401
3.70	80	-117.391443793053
3.70	90	-117.391478267257
3.70	100	-117.391433875536
3.70	110	-117.391294671648
3.70	120	-117.391028201169
3.70	130	-117.390589214591
3.70	140	-117.389849093185
3.70	150	-117.388328495689
3.70	160	-117.384890888851
3.70	170	-117.379238710356
3.70	180	-117.375855637665
3.80	0	-117.383883065981
3.80	10	-117.38471916094
3.80	20	-117.386635364199
3.80	30	-117.388570144936
3.80	40	-117.389942475754
3.80	50	-117.390737167102
3.80	60	-117.39115141625
3.80	70	-117.391357674167
3.80	80	-117.391453370012
3.80	90	-117.391479438036
3.80	100	-117.391444109309
3.80	110	-117.39133448993
3.80	120	-117.39112616361
3.80	130	-117.390791248513
3.80	140	-117.390252369356
3.80	150	-117.389198751033
3.80	160	-117.386868116441
3.80	170	-117.383079481905
3.80	180	-117.380837560079
3.90	0	-117.385930548091
3.90	10	-117.386530321918
3.90	20	-117.387911861895
3.90	30	-117.38931980016
3.90	40	-117.390328439462
3.90	50	-117.390918004123
3.90	60	-117.391228039807
3.90	70	-117.391383409885
3.90	80	-117.391455806366
3.90	90	-117.391475245627
3.90	100	-117.391446945282
3.90	110	-117.391360501229
3.90	120	-117.39119748017
3.90	130	-117.390941541969
3.90	140	-117.390549964076
3.90	150	-117.389827495484
3.90	160	-117.3882694678
3.90	170	-117.385760110107
3.90	180	-117.384287793997
4.00	0	-117.387433922559
4.00	10	-117.387864242279
4.00	20	-117.388859075951
4.00	30	-117.389880187228
4.00	40	-117.390617986292
4.00	50	-117.391052878031
4.00	60	-117.391283266281
4.00	70	-117.391399208117
4.00	80	-117.391453407721
4.00	90	-117.39146766196
4.00	100	-117.3914448163
4.00	110	-117.391376489242
4.00	120	-117.391248812545
4.00	130	-117.391052900489
4.00	140	-117.390768887113
4.00	150	-117.390279250419
4.00	160	-117.389255028155
4.00	170	-117.387616702427
4.00	180	-117.386660756624
4.10	0	-117.388536741818
4.10	10	-117.388845262947
4.10	20	-117.389560019543
4.10	30	-117.390297486056
4.10	40	-117.390834103027
4.10	50	-117.391152658709
4.10	60	-117.391322272635
4.10	70	-117.391407774689
4.10	80	-117.391447836803
4.10	90	-117.391458056903
4.10	100	-117.391439458004
4.10	110	-117.39138526549
4.10	120	-117.391285173741
4.10	130	-117.391134987722
4.10	140	-117.39092942054
4.10	150	-117.390602111691
4.10	160	-117.389942768394
4.10	170	-117.388892168828
4.10	180	-117.388280197912
4.20	0	-117.389344549159
4.20	10	-117.389565287398
4.20	20	-117.390077049218
4.20	30	-117.390606903449
4.20	40	-117.39099446328
4.20	50	-117.391225686982
