R,phi,th2,th1,E_cm
5.1,30.0,0.0,0.0,-2.54328847245531
5.2,30.0,0.0,0.0,-2.758727185539669
5.3,30.0,0.0,0.0,-2.000896211086085
5.4,30.0,0.0,0.0,-1.36206547858861
5.5,30.0,0.0,0.0,-0.8346552151851709
5.6,30.0,0.0,0.0,-0.40330460487191616
5.7,30.0,0.0,0.0,-0.05379301287107793
5.8,30.0,0.0,0.0,0.2266995157590115
5.9,30.0,0.0,0.0,0.44939888607384476
6.0,30.0,0.0,0.0,0.6239918306767472
6.2,30.0,0.0,0.0,1.3809080346408567
6.4,30.0,0.0,0.0,0.9883135711556521
6.6,30.0,0.0,0.0,1.0433911713451458
6.8,30.0,0.0,0.0,1.0509753356495084
7.0,30.0,0.0,0.0,1.0283380619559224
7.2,30.0,0.0,0.0,0.9872401223864049
7.4,30.0,0.0,0.0,0.9356161763519704
7.6,30.0,0.0,0.0,0.8787524942437988
7.8,30.0,0.0,0.0,0.8201152402134144
8.0,30.0,0.0,0.0,0.7619353667493843
8.2,30.0,0.0,0.0,0.7056120316538329
8.4,30.0,0.0,0.0,0.6519812120877125
8.6,30.0,0.0,0.0,0.6015070941053573
8.8,30.0,0.0,0.0,0.5543992786273497
9.0,30.0,0.0,0.0,0.5107021011310658
9.5,30.0,0.0,0.0,0.4157828351158227
10.0,30.0,0.0,0.0,0.3391556821894311
10.5,30.0,0.0,0.0,0.27767886169135947
11.0,30.0,0.0,0.0,0.22840614937553028
11.5,30.0,0.0,0.0,0.18478446850712943
12.0,30.0,0.0,0.0,0.1530866263638859
12.5,30.0,0.0,0.0,0.1275162965132465
13.0,30.0,0.0,0.0,0.1068062297246415
13.5,30.0,0.0,0.0,0.089961773676268
14.0,30.0,0.0,0.0,0.07619895923286776
14.5,30.0,0.0,0.0,0.06489755131164798
15.0,30.0,0.0,0.0,0.05556746432931732
16.0,30.0,0.0,0.0,0.04134901903485016
17.0,30.0,0.0,0.0,0.03131200653049632
18.0,30.0,0.0,0.0,0.024064295945578778
19.0,30.0,0.0,0.0,0.018731940361736008
20.0,30.0,0.0,0.0,0.014748474912844785
21.0,30.0,0.0,0.0,0.011733113521006403
22.0,30.0,0.0,0.0,0.009424241002099905
23.0,30.0,0.0,0.0,0.007637279547395224
24.0,30.0,0.0,0.0,0.006239662492778422
25.0,30.0,0.0,0.0,0.00513768182433779
50.0,30.0,0.0,0.0,0.00019050376068321384
100.0,30.0,0.0,0.0,0.0
2.7,60.0,0.0,0.0,670.0426701658494
2.8,60.0,0.0,0.0,649.9061821054114
2.9,60.0,0.0,0.0,574.1685717869314
3.0,60.0,0.0,0.0,469.843050801021
3.1,60.0,0.0,0.0,363.0704702128629
3.2,60.0,0.0,0.0,265.22723930856614
3.3,60.0,0.0,0.0,185.41319500499495
3.4,60.0,0.0,0.0,122.29805964972489
3.5,60.0,0.0,0.0,75.03687369225496
3.6,60.0,0.0,0.0,42.0837930409793
3.7,60.0,0.0,0.0,18.7437922656423
3.8,60.0,0.0,0.0,3.426339377780777
3.9,60.0,0.0,0.0,-6.089600806016084
4.0,60.0,0.0,0.0,-11.471578312285438
4.1,60.0,0.0,0.0,-13.873165187717984
4.2,60.0,0.0,0.0,-14.992906969644324
4.3,60.0,0.0,0.0,-14.503829047698778
4.4,60.0,0.0,0.0,-14.093189820359246
4.5,60.0,0.0,0.0,-11.121313703332069
4.6,60.0,0.0,0.0,-9.465434025127971
4.7,60.0,0.0,0.0,-7.825583236037391
4.8,60.0,0.0,0.0,-6.271336334816255
4.9,60.0,0.0,0.0,-4.50927790410738
5.0,60.0,0.0,0.0,-3.624204097109655
5.1,60.0,0.0,0.0,-2.54328847245531
5.2,60.0,0.0,0.0,-2.758727185539669
5.3,60.0,0.0,0.0,-2.000896211086085
5.4,60.0,0.0,0.0,-1.36206547858861
5.5,60.0,0.0,0.0,-0.8346552151851709
5.6,60.0,0.0,0.0,-0.40330460487191616
5.7,60.0,0.0,0.0,-0.05379301287107793
5.8,60.0,0.0,0.0,0.2266995157590115
5.9,60.0,0.0,0.0,0.44939888607384476
6.0,60.0,0.0,0.0,0.6239918306767472
6.2,60.0,0.0,0.0,1.3809080346408567
