R	Gamma	E
4.20	160	-230.369045829012
4.30	10	-230.3268949013
4.30	20	-230.421161346461
4.30	40	-230.431984892127
4.30	50	-230.433421000417
4.30	60	-230.433627178516
4.30	70	-230.433624623625
4.30	80	-230.433604502254
4.30	90	-230.433596179116
4.30	100	-230.43360250871
4.30	110	-230.433621906425
4.30	120	-230.43363334964
4.30	130	-230.433496496226
4.30	140	-230.432405908136
4.30	150	-230.425602134413
4.30	160	-230.381063705213
4.40	10	-230.344179594955
4.40	20	-230.42747079197
4.40	40	-230.432391208481
4.40	50	-230.433475644572
4.40	60	-230.433621490365
4.40	70	-230.433612559963
4.40	80	-230.433593819993
4.40	90	-230.433586332467
4.40	100	-230.433591963806
4.40	110	-230.433610025634
4.40	120	-230.433626362717
4.40	130	-230.433537798202
4.40	140	-230.43273314548
4.40	150	-230.427465783181
4.40	160	-230.391425231777
4.40	180	-227.797044493909
4.50	10	-230.362073621327
4.50	20	-230.432774922987
4.50	40	-230.432705106841
4.50	50	-230.433516013268
4.50	60	-230.433614521967
4.50	70	-230.433601491914
4.50	80	-230.433584167936
4.50	90	-230.433577437921
4.50	100	-230.433582411621
4.50	110	-230.433599055595
4.50	120	-230.433618138193
4.50	130	-230.433565191078
4.50	140	-230.432980194387
4.50	150	-230.428946392222
4.50	160	-230.400211235745
4.50	170	-230.210605128681
4.50	180	-229.1900363089
4.60	10	-230.379381245245
4.60	40	-230.432942475794
4.60	50	-230.433542356615
4.60	60	-230.433606923485
4.60	70	-230.433591464868
4.60	80	-230.433575517263
4.60	90	-230.433569473365
4.60	100	-230.433573829223
4.60	110	-230.43358904702
4.60	120	-230.433609379261
4.60	130	-230.433582268511
4.60	140	-230.433164480852
4.60	150	-230.430111268012
4.60	160	-230.407531584636
4.60	170	-230.259853676682
4.60	180	-229.74048472202
4.70	0	-230.349929053785
4.70	40	-230.433122897841
4.70	50	-230.433560402035
4.70	60	-230.433599146173
4.70	70	-230.433582426689
4.70	80	-230.433567807728
4.70	90	-230.433562371444
4.70	100	-230.433566163663
4.70	110	-230.433579992606
4.70	120	-230.433600564029
4.70	130	-230.433591789425
4.70	140	-230.433300076025
4.70	150	-230.431018125812
4.70	160	-230.413518073511
4.70	170	-230.300789040848
4.70	180	-230.006767431623
4.80	0	-230.372374321967
4.80	40	-230.433262382542
4.80	50	-230.433572050602
4.80	60	-230.433591518841
4.80	70	-230.433574324497
4.80	80	-230.433560957351
4.80	90	-230.433556081392
4.80	100	-230.433559353108
4.80	110	-230.433571852938
4.80	120	-230.433592004128
4.80	130	-230.433595859803
4.80	140	-230.433398264243
4.80	150	-230.431716176508
4.80	160	-230.418337733402
4.80	170	-230.333674889019
4.80	180	-230.154455618236
4.90	0	-230.389168302541
4.90	30	-230.431958659711
4.90	40	-230.43335840845
4.90	50	-230.433577592508
4.90	60	-230.433584207661
4.90	70	-230.433567082931
4.90	80	-230.433554903505
4.90	90	-230.4335505354
4.90	100	-230.433553333363
4.90	110	-230.433564559241
4.90	120	-230.433583893952
4.90	130	-230.43359608606
4.90	140	-230.433467965588
4.90	150	-230.432247004642
4.90	160	-230.422157232288
4.90	170	-230.35948522196
4.90	180	-230.244750953507
5.00	0	-230.401661751912
5.00	40	-230.433430874225
5.00	50	-230.433583134323
5.00	60	-230.433577325684
5.00	70	-230.433560611293
5.00	80	-230.433549564371
5.00	90	-230.433545650987
5.00	100	-230.433548036809
5.00	110	-230.433558049362
5.00	120	-230.433576315586
5.00	130	-230.433593685933
5.00	140	-230.433516188012
5.00	150	-230.432645398889
5.00	160	-230.425138590234
5.00	170	-230.379347851346
5.00	180	-230.303685154245
5.10	0	-230.410694171625
5.10	30	-230.432769701855
5.10	40	-230.433482129381
5.10	50	-230.433581575592
5.10	60	-230.433570916633
5.10	70	-230.433554858528
5.10	80	-230.433544880205
5.10	90	-230.433541380273
5.10	100	-230.433543382904
5.10	110	-230.433552253377
5.10	120	-230.433569321583
5.10	130	-230.433589580437
5.10	140	-230.433548373051
5.10	150	-230.432940136119
5.10	160	-230.427431695518
5.10	170	-230.394373996364
5.10	180	-230.343695992091
5.20	0	-230.417314009226
5.20	30	-230.433020992805
5.20	40	-230.433517842205
5.20	50	-230.433578738176
5.20	60	-230.433564995841
5.20	70	-230.433549753338
5.20	80	-230.433540774938
5.20	90	-230.433537645953
5.20	100	-230.43353931997
5.20	110	-230.433547123743
5.20	120	-230.433562907237
5.20	130	-230.433584456446
5.20	140	-230.433568743419
5.20	150	-230.433154752894
5.20	160	-230.4291701666
5.20	170	-230.405562873703
5.20	180	-230.371403643992
5.30	0	-230.422148109421
5.30	20	-230.431442462602
5.30	30	-230.433202024578
5.30	40	-230.433541747446
5.30	50	-230.433575091731
5.30	60	-230.433559558207
5.30	70	-230.433545249258
5.30	80	-230.433537189657
5.30	90	-230.433534382928
5.30	100	-230.433535768185
5.30	110	-230.433542584653
5.30	120	-230.43355705474
5.30	130	-230.433578809169
5.30	140	-230.43358051305
5.30	150	-230.433308237638
5.30	160	-230.430469380597
5.30	170	-230.413787864449
5.30	180	-230.390736241794
5.40	0	-230.425645952022
5.40	20	-230.432120151815
5.40	30	-230.433329859555
5.40	40	-230.433559265814
5.40	50	-230.433570986015
5.40	60	-230.433554572968
5.40	70	-230.433541260906
5.40	80	-230.433534064787
5.40	90	-230.43353152481
5.40	100	-230.433532671654
5.40	110	-230.433538594771
5.40	120	-230.433551734466
5.40	130	-230.433572977436
5.40	140	-230.433586123231
5.40	150	-230.433415671735
5.40	160	-230.431426390143
5.40	170	-230.419761122341
5.40	180	-230.404231126179
5.50	0	-230.4281507008
5.50	20	-230.432606985001
5.50	30	-230.433421296677
5.50	40	-230.433566584572
5.50	50	-230.433566676188
5.50	60	-230.433550024572
5.50	70	-230.433537759136
5.50	80	-230.433531325379
5.50	90	-230.433529023991
5.50	100	-230.433529968771
5.50	110	-230.433535088381
5.50	120	-230.433546909707
5.50	130	-230.433567205622
5.50	140	-230.433587452912
5.50	150	-230.43348892174
5.50	160	-230.432120900705
5.50	170	-230.424048889181
5.50	180	-230.413622361036
5.60	0	-230.429924606102
5.60	20	-230.432945713036
5.60	30	-230.433484332
5.60	40	-230.433571138936
5.60	50	-230.433562342159
5.60	60	-230.433545905609
5.60	70	-230.433534677835
5.60	80	-230.433528926905
5.60	90	-230.433526823951
5.60	100	-230.433527594656
5.60	110	-230.433532002104
5.60	120	-230.433542558027
5.60	130	-230.433561636419
5.60	140	-230.433585875522
5.60	150	-230.433537156134
5.60	160	-230.432617069781
5.60	170	-230.427092058915
5.60	180	-230.420122884133
5.70	0	-230.43116576705
5.70	10	-230.432080780267
5.70	20	-230.433176244709
5.70	30	-230.433525722988
5.70	40	-230.433571695748
5.70	50	-230.433558087033
5.70	60	-230.433542169583
5.70	70	-230.43353197885
5.70	80	-230.433526819987
5.70	90	-230.43352488837
5.70	100	-230.433525509281
5.70	110	-230.433529311947
5.70	120	-230.433538648143
5.70	130	-230.433556359392
5.70	140	-230.433582423401
5.70	150	-230.433567359123
5.70	160	-230.432965481975
5.70	170	-230.429227972635
5.70	180	-230.424597451673
5.80	0	-230.432022420909
5.80	10	-230.432623746301
5.80	20	-230.433335815539
5.80	30	-230.433551968625
5.80	40	-230.433575158057
5.80	50	-230.433553993541
5.80	60	-230.433538807314
5.80	70	-230.433529595587
5.80	80	-230.433524962357
5.80	90	-230.433523167135
5.80	100	-230.433523665571
5.80	110	-230.433526937055
5.80	120	-230.433535151856
5.80	130	-230.433551433592
5.80	140	-230.433577827046
5.80	150	-230.433584776604
5.80	160	-230.433205408379
5.80	170	-230.43071043789
5.80	180	-230.427655308184
5.90	0	-230.432604580867
5.90	10	-230.432989616936
5.90	20	-230.433440946511
