I	J	5.000	6.000	7.000	8.000	9.000	10.000	12.000	14.000	16.000	18.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	60.000	70.000	80.000	90.000	100.000
8	7	9.35E-11	9.80E-11	1.01E-10	1.02E-10	1.03E-10	1.04E-10	1.04E-10	1.03E-10	1.02E-10	1.00E-10	9.89E-11	9.56E-11	9.27E-11	9.02E-11	8.80E-11	8.61E-11	8.45E-11	8.18E-11	7.96E-11	7.79E-11	7.65E-11	7.53E-11
9	1	1.12E-12	1.16E-12	1.17E-12	1.17E-12	1.16E-12	1.14E-12	1.12E-12	1.09E-12	1.08E-12	1.07E-12	1.06E-12	1.06E-12	1.08E-12	1.10E-12	1.12E-12	1.14E-12	1.16E-12	1.19E-12	1.22E-12	1.25E-12	1.27E-12	1.28E-12
9	2	5.97E-12	6.38E-12	6.69E-12	6.95E-12	7.16E-12	7.35E-12	7.64E-12	7.87E-12	8.06E-12	8.20E-12	8.33E-12	8.54E-12	8.69E-12	8.78E-12	8.85E-12	8.91E-12	8.94E-12	9.00E-12	9.04E-12	9.08E-12	9.10E-12	9.13E-12
9	3	7.63E-12	7.79E-12	7.79E-12	7.71E-12	7.59E-12	7.47E-12	7.23E-12	7.03E-12	6.87E-12	6.76E-12	6.67E-12	6.57E-12	6.55E-12	6.58E-12	6.62E-12	6.68E-12	6.74E-12	6.85E-12	6.95E-12	7.04E-12	7.11E-12	7.17E-12
9	4	1.95E-11	2.03E-11	2.09E-11	2.13E-11	2.15E-11	2.17E-11	2.20E-11	2.22E-11	2.23E-11	2.24E-11	2.24E-11	2.25E-11	2.25E-11	2.25E-11	2.24E-11	2.24E-11	2.24E-11	2.23E-11	2.23E-11	2.23E-11	2.23E-11	2.23E-11
9	5	2.00E-11	2.04E-11	2.03E-11	2.01E-11	1.97E-11	1.93E-11	1.86E-11	1.80E-11	1.74E-11	1.70E-11	1.66E-11	1.60E-11	1.57E-11	1.55E-11	1.54E-11	1.53E-11	1.53E-11	1.54E-11	1.55E-11	1.56E-11	1.57E-11	1.58E-11
9	6	4.39E-11	4.54E-11	4.62E-11	4.66E-11	4.68E-11	4.68E-11	4.67E-11	4.64E-11	4.60E-11	4.57E-11	4.53E-11	4.44E-11	4.37E-11	4.31E-11	4.25E-11	4.21E-11	4.17E-11	4.11E-11	4.06E-11	4.03E-11	4.00E-11	3.97E-11
9	7	3.76E-11	3.93E-11	4.02E-11	4.06E-11	4.08E-11	4.09E-11	4.08E-11	4.08E-11	4.08E-11	4.08E-11	4.09E-11	4.13E-11	4.18E-11	4.24E-11	4.29E-11	4.35E-11	4.41E-11	4.51E-11	4.60E-11	4.69E-11	4.77E-11	4.84E-11
9	8	8.33E-11	8.89E-11	9.26E-11	9.50E-11	9.66E-11	9.75E-11	9.84E-11	9.83E-11	9.77E-11	9.69E-11	9.59E-11	9.33E-11	9.09E-11	8.87E-11	8.67E-11	8.50E-11	8.35E-11	8.10E-11	7.90E-11	7.74E-11	7.61E-11	7.50E-11
10	1	9.46E-13	1.07E-12	1.18E-12	1.27E-12	1.35E-12	1.42E-12	1.54E-12	1.64E-12	1.73E-12	1.80E-12	1.86E-12	1.98E-12	2.07E-12	2.13E-12	2.18E-12	2.22E-12	2.25E-12	2.30E-12	2.34E-12	2.37E-12	2.39E-12	2.41E-12
10	2	3.24E-12	3.36E-12	3.39E-12	3.38E-12	3.35E-12	3.30E-12	3.20E-12	3.11E-12	3.04E-12	2.99E-12	2.95E-12	2.92E-12	2.94E-12	2.98E-12	3.04E-12	3.10E-12	3.16E-12	3.27E-12	3.37E-12	3.45E-12	3.51E-12	3.56E-12
10	3	6.21E-12	6.88E-12	7.43E-12	7.88E-12	8.26E-12	8.59E-12	9.13E-12	9.55E-12	9.89E-12	1.02E-11	1.04E-11	1.08E-11	1.11E-11	1.14E-11	1.15E-11	1.17E-11	1.18E-11	1.19E-11	1.21E-11	1.22E-11	1.23E-11	1.23E-11
10	4	1.11E-11	1.13E-11	1.12E-11	1.11E-11	1.09E-11	1.06E-11	1.02E-11	9.76E-12	9.43E-12	9.17E-12	8.97E-12	8.64E-12	8.48E-12	8.43E-12	8.43E-12	8.47E-12	8.52E-12	8.65E-12	8.79E-12	8.91E-12	9.02E-12	9.13E-12
10	5	1.77E-11	1.90E-11	1.99E-11	2.06E-11	2.11E-11	2.16E-11	2.22E-11	2.26E-11	2.29E-11	2.31E-11	2.32E-11	2.34E-11	2.36E-11	2.37E-11	2.37E-11	2.38E-11	2.38E-11	2.38E-11	2.39E-11	2.39E-11	2.39E-11	2.40E-11
