I	J	5.000	6.000	7.000	8.000	9.000	10.000	12.000	14.000	16.000	18.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	55.000	60.000	65.000	70.000	75.000	80.000	85.000	90.000	95.000	100.000
5	4	1.98E-11	2.62E-11	3.18E-11	3.63E-11	3.99E-11	4.27E-11	4.66E-11	4.89E-11	5.01E-11	5.04E-11	5.04E-11	4.96E-11	4.88E-11	4.77E-11	4.61E-11	4.43E-11	4.23E-11	4.04E-11	3.85E-11	3.66E-11	3.49E-11	3.33E-11	3.18E-11	3.05E-11	2.93E-11	2.83E-11	2.75E-11
6	1	1.07E-12	1.39E-12	1.71E-12	2.02E-12	2.30E-12	2.54E-12	2.90E-12	3.13E-12	3.27E-12	3.36E-12	3.43E-12	3.56E-12	3.67E-12	3.70E-12	3.66E-12	3.57E-12	3.45E-12	3.32E-12	3.18E-12	3.04E-12	2.91E-12	2.78E-12	2.67E-12	2.58E-12	2.52E-12	2.45E-12	2.37E-12
6	2	3.29E-12	4.26E-12	5.26E-12	6.24E-12	7.12E-12	7.85E-12	8.95E-12	9.69E-12	1.02E-11	1.06E-11	1.08E-11	1.13E-11	1.16E-11	1.16E-11	1.14E-11	1.10E-11	1.06E-11	1.02E-11	9.85E-12	9.48E-12	9.13E-12	8.81E-12	8.52E-12	8.26E-12	8.02E-12	7.80E-12	7.58E-12
6	3	5.82E-12	7.62E-12	9.26E-12	1.08E-11	1.22E-11	1.35E-11	1.56E-11	1.71E-11	1.80E-11	1.84E-11	1.86E-11	1.86E-11	1.85E-11	1.81E-11	1.74E-11	1.67E-11	1.60E-11	1.53E-11	1.47E-11	1.41E-11	1.36E-11	1.31E-11	1.26E-11	1.22E-11	1.18E-11	1.15E-11	1.11E-11
6	4	1.56E-11	2.10E-11	2.57E-11	2.98E-11	3.35E-11	3.68E-11	4.25E-11	4.67E-11	4.97E-11	5.17E-11	5.30E-11	5.49E-11	5.60E-11	5.61E-11	5.53E-11	5.39E-11	5.23E-11	5.07E-11	4.91E-11	4.76E-11	4.60E-11	4.45E-11	4.30E-11	4.14E-11	4.00E-11	3.86E-11	3.73E-11
6	5	2.10E-11	2.77E-11	3.37E-11	3.85E-11	4.21E-11	4.50E-11	4.90E-11	5.13E-11	5.24E-11	5.27E-11	5.25E-11	5.16E-11	5.08E-11	4.97E-11	4.80E-11	4.61E-11	4.40E-11	4.19E-11	3.99E-11	3.80E-11	3.62E-11	3.46E-11	3.31E-11	3.17E-11	3.06E-11	2.96E-11	2.88E-11
7	1	7.62E-13	9.90E-13	1.21E-12	1.43E-12	1.63E-12	1.81E-12	2.10E-12	2.30E-12	2.42E-12	2.49E-12	2.54E-12	2.61E-12	2.67E-12	2.69E-12	2.66E-12	2.61E-12	2.54E-12	2.46E-12	2.37E-12	2.28E-12	2.19E-12	2.10E-12	2.02E-12	1.96E-12	1.90E-12	1.85E-12	1.78E-12
7	2	2.52E-12	3.19E-12	3.88E-12	4.54E-12	5.13E-12	5.63E-12	6.36E-12	6.83E-12	7.14E-12	7.32E-12	7.44E-12	7.61E-12	7.66E-12	7.57E-12	7.36E-12	7.10E-12	6.81E-12	6.52E-12	6.25E-12	5.98E-12	5.74E-12	5.53E-12	5.34E-12	5.20E-12	5.10E-12	5.03E-12	4.91E-12
7	3	4.94E-12	6.39E-12	7.73E-12	9.01E-12	1.02E-11	1.13E-11	1.30E-11	1.43E-11	1.51E-11	1.56E-11	1.59E-11	1.64E-11	1.65E-11	1.64E-11	1.60E-11	1.55E-11	1.50E-11	1.44E-11	1.39E-11	1.34E-11	1.29E-11	1.25E-11	1.21E-11	1.17E-11	1.14E-11	1.10E-11	1.07E-11
7	4	7.59E-12	9.90E-12	1.19E-11	1.36E-11	1.52E-11	1.66E-11	1.89E-11	2.05E-11	2.15E-11	2.20E-11	2.23E-11	2.24E-11	2.22E-11	2.18E-11	2.10E-11	2.02E-11	1.93E-11	1.85E-11	1.78E-11	1.71E-11	1.64E-11	1.58E-11	1.52E-11	1.47E-11	1.42E-11	1.38E-11	1.33E-11
7	5	1.61E-11	2.18E-11	2.68E-11	3.10E-11	3.47E-11	3.80E-11	4.38E-11	4.83E-11	5.15E-11	5.36E-11	5.50E-11	5.69E-11	5.79E-11	5.79E-11	5.71E-11	5.58E-11	5.44E-11	5.30E-11	5.15E-11	5.00E-11	4.85E-11	4.69E-11	4.53E-11	4.38E-11	4.22E-11	4.07E-11	3.93E-11
7	6	2.15E-11	2.81E-11	3.41E-11	3.88E-11	4.25E-11	4.53E-11	4.92E-11	5.14E-11	5.24E-11	5.26E-11	5.23E-11	5.12E-11	5.02E-11	4.91E-11	4.76E-11	4.58E-11	4.39E-11	4.21E-11	4.03E-11	3.86E-11	3.70E-11	3.54E-11	3.41E-11	3.28E-11	3.16E-11	3.06E-11	2.98E-11
8	1	6.76E-13	8.70E-13	1.05E-12	1.23E-12	1.39E-12	1.53E-12	1.75E-12	1.89E-12	1.97E-12	2.00E-12	2.00E-12	1.98E-12	1.95E-12	1.91E-12	1.86E-12	1.79E-12	1.73E-12	1.67E-12	1.62E-12	1.56E-12	1.51E-12	1.45E-12	1.40E-12	1.35E-12	1.31E-12	1.26E-12	1.21E-12
8	2	2.01E-12	2.54E-12	3.08E-12	3.61E-12	4.08E-12	4.48E-12	5.07E-12	5.45E-12	5.67E-12	5.79E-12	5.85E-12	5.94E-12	5.99E-12	5.98E-12	5.90E-12	5.77E-12	5.61E-12	5.43E-12	5.23E-12	5.03E-12	4.83E-12	4.64E-12	4.47E-12	4.32E-12	4.19E-12	4.08E-12	3.94E-12
8	3	4.03E-12	5.14E-12	6.13E-12	7.02E-12	7.80E-12	8.46E-12	9.44E-12	1.01E-11	1.04E-11	1.06E-11	1.06E-11	1.06E-11	1.06E-11	1.04E-11	1.01E-11	9.74E-12	9.39E-12	9.04E-12	8.70E-12	8.37E-12	8.05E-12	7.75E-12	7.48E-12	7.25E-12	7.07E-12	6.93E-12	6.75E-12
8	4	6.22E-12	8.07E-12	9.66E-12	1.11E-11	1.24E-11	1.35E-11	1.54E-11	1.68E-11	1.77E-11	1.83E-11	1.86E-11	1.89E-11	1.89E-11	1.87E-11	1.83E-11	1.79E-11	1.73E-11	1.68E-11	1.63E-11	1.58E-11	1.53E-11	1.48E-11	1.43E-11	1.39E-11	1.36E-11	1.32E-11	1.29E-11
8	5	8.29E-12	1.10E-11	1.32E-11	1.50E-11	1.66E-11	1.80E-11	2.03E-11	2.19E-11	2.30E-11	2.36E-11	2.40E-11	2.42E-11	2.41E-11	2.37E-11	2.31E-11	2.22E-11	2.14E-11	2.06E-11	1.99E-11	1.92E-11	1.85E-11	1.78E-11	1.72E-11	1.66E-11	1.61E-11	1.56E-11	1.51E-11
8	6	1.55E-11	2.12E-11	2.62E-11	3.03E-11	3.39E-11	3.72E-11	4.29E-11	4.75E-11	5.09E-11	5.32E-11	5.48E-11	5.71E-11	5.82E-11	5.83E-11	5.76E-11	5.66E-11	5.53E-11	5.40E-11	5.26E-11	5.12E-11	4.97E-11	4.81E-11	4.65E-11	4.49E-11	4.33E-11	4.17E-11	4.03E-11
