R	Gamma	E
5.10	65	-4.730434
5.10	70	-4.559695
5.10	75	-4.424773
5.10	80	-4.327307
5.10	85	-4.268413
5.10	90	-4.248708
5.20	0	-6.948317
5.20	5	-6.91496
5.20	10	-6.817248
5.20	15	-6.662023
5.20	20	-6.459422
5.20	25	-6.22149
5.20	30	-5.960383
5.20	35	-5.687293
5.20	40	-5.411725
5.20	45	-5.141675
5.20	50	-4.882198
5.20	55	-4.643977
5.20	60	-4.428935
5.20	65	-4.241335
5.20	70	-4.084388
5.20	75	-3.960378
5.20	80	-3.870815
5.20	85	-3.816684
5.20	90	-3.798576
5.30	0	-6.270313
5.30	5	-6.240035
5.30	10	-6.151346
5.30	15	-6.010486
5.30	20	-5.826736
5.30	25	-5.610977
5.30	30	-5.374166
5.30	35	-5.126275
5.30	40	-4.87578
5.30	45	-4.628108
5.30	50	-4.393885
5.30	55	-4.175663
5.30	60	-3.978328
5.30	65	-3.805965
5.30	70	-3.66167
5.30	75	-3.547632
5.30	80	-3.465282
5.30	85	-3.415528
5.30	90	-3.398882
5.40	0	-5.658732
5.40	5	-5.63131
5.40	10	-5.551075
5.40	15	-5.423707
5.40	20	-5.257575
5.40	25	-5.062459
5.40	30	-4.84818
5.40	35	-4.6236
5.40	40	-4.3947
5.40	45	-4.171768
5.40	50	-3.957869
5.40	55	-3.758121
5.40	60	-3.577146
5.40	65	-3.41885
5.40	70	-3.286252
5.40	75	-3.181442
5.40	80	-3.105793
5.40	85	-3.060086
5.40	90	-3.044817
5.50	0	-5.107834
5.50	5	-5.083115
5.50	10	-5.010749
5.50	15	-4.895874
5.50	20	-4.746081
5.50	25	-4.570103
5.50	30	-4.376662
5.50	35	-4.17223
5.50	40	-3.966839
5.50	45	-3.764027
5.50	50	-3.568926
5.50	55	-3.386257
5.50	60	-3.220412
5.50	65	-3.075153
5.50	70	-2.953407
5.50	75	-2.857193
5.50	80	-2.787796
5.50	85	-2.745912
5.50	90	-2.731905
5.60	0	-4.61269
5.60	5	-4.590463
5.60	10	-4.525386
5.60	15	-4.422097
5.60	20	-4.28735
5.60	25	-4.127257
5.60	30	-3.95354
5.60	35	-3.770697
5.60	40	-3.584583
5.60	45	-3.400243
5.60	50	-3.222398
5.60	55	-3.055478
5.60	60	-2.903608
5.60	65	-2.770436
5.60	70	-2.658812
5.60	75	-2.570669
5.60	80	-2.507128
5.60	85	-2.468833
5.60	90	-2.456031
5.70	0	-4.168947
5.70	5	-4.149016
5.70	10	-4.08861
5.70	15	-3.996265
5.70	20	-3.875724
5.70	25	-3.733833
5.70	30	-3.577329
5.70	35	-3.412213
5.70	40	-3.243649
5.70	45	-3.076202
5.70	50	-2.91415
5.70	55	-2.761623
5.70	60	-2.622634
5.70	65	-2.500679
5.70	70	-2.398467
5.70	75	-2.317865
5.70	80	-2.259839
5.70	85	-2.224916
5.70	90	-2.213253
