R	Gamma	E
4.50	20	26.345303
4.50	30	0.955856
4.50	40	-12.986158
4.50	50	-17.057913
4.50	60	-16.23044
4.50	70	-14.153803
4.50	80	-12.513301
4.50	90	-12.126
4.50	100	-11.963565
4.50	110	-13.334423
4.50	120	-16.148983
4.50	130	-20.406568
4.50	140	-25.440231
4.50	150	-27.137516
4.50	160	-16.821781
4.50	170	7.986312
4.50	180	23.033882
4.60	0	37.055857
4.60	10	28.876578
4.60	20	10.650066
4.60	30	-5.774324
4.60	40	-14.2874
4.60	50	-16.074366
4.60	60	-14.664852
4.60	70	-12.629165
4.60	80	-11.136854
4.60	90	-10.756812
4.60	100	-10.671681
4.60	110	-11.908384
4.60	120	-14.498955
4.60	130	-18.527747
4.60	140	-23.717678
4.60	150	-27.616708
4.60	160	-24.606733
4.60	170	-12.051284
4.60	180	-3.85028
4.70	0	17.436659
4.70	10	12.176513
4.70	20	0.479766
4.70	30	-9.814409
4.70	40	-14.642435
4.70	50	-14.932455
4.70	60	-13.203156
4.70	70	-11.257957
4.70	80	-9.902478
4.70	90	-9.533582
4.70	100	-9.492982
4.70	110	-10.596811
4.70	120	-12.944379
4.70	130	-16.673536
4.70	140	-21.722635
4.70	150	-26.693084
4.70	160	-27.895859
4.70	170	-22.868064
4.70	180	-18.9654
4.80	0	4.661395
4.80	10	1.375519
4.80	20	-5.89295
4.80	30	-12.030553
4.80	40	-14.392553
4.80	50	-13.734615
4.80	60	-11.860928
4.80	70	-10.032657
4.80	80	-8.802347
4.80	90	-8.447053
4.80	100	-8.428636
4.80	110	-9.407626
4.80	120	-11.512329
4.80	130	-14.910009
4.80	140	-19.654161
4.80	150	-24.999459
4.80	160	-28.461036
4.80	170	-27.859226
4.80	180	-26.569322
4.90	0	-3.422924
4.90	10	-5.38584
4.90	20	-9.678651
4.90	30	-13.029629
4.90	40	-13.773955
4.90	50	-12.546224
4.90	60	-10.642196
4.90	70	-8.942973
4.90	80	-7.82604
4.90	90	-7.486711
4.90	100	-7.475282
